cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,69,127,1,134,38,53,11,12,10,65,3,18,65,91,0,7,23,21,0,4,31,0,12,66,13,44
cluster11,107,222,37,901,133,925,351,20,5,57,10,319,38,287,9,21,152,61,6,66,269,2,65,511,37,26
cluster12,41,68,5,5,42,31,11,0,19,117,9,6,0,45,6,17,0,100,48,9,5,0,75,183,123,38
cluster13,56,139,1,109,46,41,47,8,7,43,7,29,29,41,1,26,30,46,0,11,4,0,20,151,32,88
cluster14,167,126,12,139,64,147,204,17,12,38,20,22,19,22,7,29,18,95,4,3,9,0,49,237,40,17
cluster15,173,489,3,504,73,50,61,5,12,152,15,58,81,289,2,12,33,25,0,9,113,1,37,277,68,122
cluster16,15,74,6,254,125,76,86,1,31,33,0,44,34,16,7,2,30,121,76,34,16,0,42,158,96,65
cluster17,72,194,6,169,65,66,49,6,4,36,1,33,30,64,0,11,17,60,5,14,16,0,30,86,19,87
cluster32,51,169,2,3476,91,1056,317,0,2,28,477,188,95,143,1,10,93,9,6,55,120,0,121,736,157,95
cluster19,68,211,9,93,65,77,41,12,4,68,11,46,16,50,1,13,18,49,2,1,15,0,48,183,38,103
cluster30,114,133,4,249,88,259,173,25,23,99,35,52,14,46,11,118,34,81,2,27,24,0,84,276,89,72
cluster31,39,34,52,451,33,110,499,9,5,25,1,322,11,16,0,0,15,12,1,16,16,0,29,312,40,11
cluster34,52,36,37,1228,126,219,195,9,10,22,7,13,414,23,16,23,22,3,0,36,115,12,70,341,45,4
cluster29,104,465,22,174,157,219,125,20,33,266,8,85,37,76,21,50,41,104,5,21,40,0,118,353,117,110
cluster28,0,0,0,0,4,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0
cluster21,212,661,27,348,272,146,156,44,43,313,21,119,31,96,13,119,54,103,5,16,24,0,244,387,148,170
cluster20,138,188,1,213,38,94,30,6,11,112,12,25,58,164,0,9,16,17,0,3,47,0,44,121,50,82
cluster23,30,86,8,187,37,58,57,1,10,93,563,17,6,53,1,46,22,42,0,13,16,1,100,133,58,37
cluster22,70,214,3,176,45,89,30,10,14,81,5,22,8,150,1,1,23,29,0,8,45,0,30,154,72,79
cluster25,225,94,23,148,176,381,146,25,30,266,94,19,18,73,16,139,41,116,9,23,12,4,120,476,102,82
cluster24,85,114,0,172,21,26,13,2,4,37,0,16,1,129,0,0,21,10,0,1,9,0,25,76,18,65
cluster27,239,520,16,371,125,140,300,14,5,74,1,455,36,162,12,20,64,156,1,18,38,0,69,266,44,151
cluster26,60,631,4,68,74,48,101,10,25,103,1,73,72,65,5,1,44,66,0,13,21,0,26,156,47,79
cluster18,151,245,19,145,135,200,236,12,11,220,14,98,42,88,32,27,76,108,0,48,79,2,101,358,119,97
cluster8,81,74,30,160,125,176,155,9,22,201,32,68,29,43,34,55,29,49,34,30,20,8,40,316,140,46
cluster9,59,71,79,274,86,425,414,36,7,29,27,330,29,34,11,29,102,30,8,53,147,5,74,288,62,21
cluster33,19,22,10,375,64,50,22,2,62,8,8,2,48,42,2,2,2,11,0,30,12,0,1,154,24,30
cluster2,273,351,50,1798,104,1289,571,8,15,29,56,282,166,503,1,38,287,147,2,53,154,2,100,835,68,55
cluster3,166,186,49,949,58,445,254,28,3,189,0,1792,30,230,5,12,124,90,5,18,77,1,80,445,43,138
cluster0,217,91,1,1746,66,192,61,4,0,75,3,30,230,381,1,1,84,11,0,18,63,0,41,410,50,135
cluster1,1252,1808,30,542,588,264,296,112,144,1670,17,424,103,183,36,63,51,371,2,28,117,0,669,1593,417,548
cluster6,85,129,66,146,98,467,234,33,29,156,39,25,8,39,28,101,21,112,7,39,18,0,109,452,125,36
cluster7,39,204,6,117,37,55,41,10,6,20,4,54,18,39,0,9,20,19,1,0,13,0,26,87,13,70
cluster4,41,82,7,2161,285,37,69,0,16,17,11,8,287,34,2,79,31,31,22,61,15,6,93,278,73,40
cluster5,227,259,39,4992,67,512,250,16,2,214,5,375,102,365,3,11,183,197,4,31,27,0,132,690,33,284
