category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,1,61,95,85,177,66,17,41,18,48,81,66,128,139,138,147,51,89,38,24,98,23,165,14,107,154,26,65,72,58,1147,40,114,48,47,12,310,79,222,39,0,152,38,69,188
movies_and_television,41,631,431,113,557,34,21,29,45,140,52,200,64,210,188,159,166,335,84,168,236,55,56,37,406,232,53,81,195,70,1696,78,131,215,74,10,360,58,223,32,0,155,201,128,67
web_development_and_sites,1,4,24,0,17,1,10,38,2,1,27,8,5,4,1,25,2,0,69,1,38,2,0,6,12,20,57,13,6,2,25,7,4,11,9,0,74,7,19,52,0,32,6,1,22
politics,63,63,168,171,272,12,372,724,141,106,138,91,95,719,215,4503,3469,220,184,103,581,16,1321,193,203,147,118,29,168,88,507,2155,244,125,54,2,2748,27,651,447,0,930,115,135,141
sports,64,74,137,22,222,39,61,85,14,46,99,65,32,54,38,56,90,46,39,23,120,33,39,61,79,141,67,40,65,28,490,283,88,96,35,4,203,112,69,32,0,40,37,38,145
technology,11,47,204,26,117,72,48,245,27,40,169,61,78,118,94,411,1054,19,296,46,906,24,111,67,95,210,395,82,67,55,249,37,259,81,76,3,1463,9,152,105,1,366,54,51,323
educational,10,110,116,12,112,13,22,176,34,37,151,38,114,56,30,162,317,24,371,11,334,9,41,78,231,233,162,75,48,19,258,64,172,69,103,8,726,36,165,496,0,175,34,11,147
religion,0,76,87,15,87,6,2,24,5,28,62,46,8,40,25,240,188,32,484,15,320,5,15,44,587,93,15,12,33,10,402,8,52,45,14,0,273,8,225,321,0,1429,53,18,17
travel,0,23,29,4,34,5,61,9,1,7,19,4,3,4,11,0,2,9,1,12,5,17,0,31,2,11,16,15,4,4,120,14,23,27,10,0,22,22,6,5,0,3,5,10,26
music_and_entertainment,19,100,248,37,285,239,7,19,71,38,153,62,9,76,113,173,25,100,34,79,51,63,54,27,45,219,35,136,36,30,1450,16,100,109,30,23,43,159,72,20,2,181,20,65,85
the_environment,0,1,7,0,18,10,7,22,541,7,22,4,8,9,12,3,477,9,6,0,11,3,0,1,1,13,27,12,1,11,14,11,34,34,14,1,61,6,2,1,0,0,4,3,89
school_and_education,0,10,23,2,30,1,2,15,0,7,11,12,6,3,6,9,0,4,33,6,19,0,2,1,12,13,22,13,6,5,94,0,25,11,15,0,15,13,13,9,0,12,10,12,24
health,1,72,37,1,23,1,48,63,0,29,25,15,8,59,57,78,95,46,19,0,27,0,208,33,16,49,5,4,30,9,91,286,13,18,13,0,529,15,45,11,0,26,18,65,17
citizen_journalism,4,68,79,130,76,3,42,11,37,41,33,50,12,287,165,272,142,103,59,19,287,32,282,11,81,89,27,11,64,135,158,34,43,42,17,3,508,28,169,15,0,212,38,91,73
personal_or_auto-biographical,1,6,16,0,8,13,1,7,0,1,29,1,0,2,0,2,1,1,3,1,6,6,1,5,3,32,16,18,0,1,9,2,10,7,7,0,16,32,9,0,0,3,0,0,9
food_and_drink,0,1,50,0,93,12,1,24,18,25,45,12,11,2,9,6,10,10,19,3,20,16,2,2,14,28,66,39,10,1,54,75,121,48,21,0,51,18,13,0,0,8,8,7,128
conferences_and_other_events,15,43,42,21,40,11,2,23,9,30,26,18,6,41,16,142,93,16,99,4,154,0,62,15,52,74,11,13,17,19,47,30,33,23,14,0,303,0,61,15,0,106,20,23,32
gaming,9,63,104,10,79,53,11,4,23,44,33,47,48,14,17,128,10,16,34,17,62,41,6,114,94,110,42,76,61,16,308,31,81,43,50,3,144,119,145,9,0,73,17,21,72
literature,25,0,5,0,5,1,0,7,0,0,31,2,0,0,0,3,6,0,1,0,5,46,0,58,0,0,4,3,5,0,1,16,2,0,4,0,3,6,2,1,0,5,1,0,7
business,5,13,21,1,9,5,30,61,5,11,27,1,1,10,3,28,55,7,17,4,49,9,10,29,12,50,31,9,14,4,26,61,27,19,3,0,78,3,8,15,0,18,0,3,18
the_mainstream_media,12,21,28,9,21,5,10,234,13,3,17,9,6,70,47,17,120,89,26,46,204,2,19,4,25,78,5,14,16,9,102,15,24,27,4,3,221,4,30,16,0,70,10,31,11
autos_and_vehicles,0,0,1,0,0,0,0,10,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,4
comedy,32,26,115,25,203,59,1,51,64,20,32,43,32,19,44,105,121,27,68,10,56,51,32,16,32,100,52,68,30,22,594,90,85,81,26,1,149,85,61,29,0,66,21,12,68
default_category,61,161,330,74,334,183,142,206,90,142,268,170,128,323,120,504,736,98,219,61,488,150,273,112,151,364,293,180,84,114,1392,256,276,128,115,17,1097,210,305,308,2,391,84,66,341
videoblogging,40,46,100,17,130,49,22,59,32,31,118,36,19,29,49,21,156,56,33,31,31,78,37,76,48,121,51,81,18,48,312,63,90,63,24,9,89,133,18,39,1,27,13,13,64
documentary,41,77,104,64,159,44,30,13,21,89,37,101,3,84,81,219,96,78,19,38,23,27,96,45,82,97,6,32,88,50,509,39,71,51,17,11,56,19,137,9,0,130,66,44,24
