category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,83,34,46,14,416,80,29,28,68,66,10,47,4,89,69,0,43,16,26,152,151,64,32,75,102,166,192,30,770,1,56,144,85,16,43,85,33,19,36,162,84,42,103,88,16,57,38,139,69,135,10,45,75,93,221
movies_and_television,102,19,27,38,1147,57,18,33,185,200,122,106,16,337,211,0,28,121,54,150,163,641,120,226,384,55,274,58,486,39,124,157,143,7,125,72,5,44,97,109,340,58,359,18,10,75,31,206,126,438,48,42,77,169,220
web_development_and_sites,0,1,12,6,8,9,0,7,5,7,5,4,7,0,2,0,28,6,49,31,28,4,4,9,14,0,39,59,17,0,0,25,22,2,1,1,4,1,4,12,11,4,37,11,0,9,26,5,1,6,2,50,0,51,19
politics,170,3,98,196,350,54,8,30,165,93,13,45,327,219,148,0,1145,49,160,913,276,66,106,5641,201,1320,1674,121,129,60,82,4491,123,25,104,135,58,131,73,136,143,207,165,42,2,21,140,715,131,209,10,419,36,956,640
sports,20,17,76,62,196,53,8,75,63,64,11,61,2,46,42,0,109,53,36,36,105,76,28,371,69,39,75,68,308,64,15,52,66,65,44,23,66,17,42,60,107,58,113,51,4,38,45,56,36,164,29,30,28,141,68
technology,26,65,65,67,106,78,10,13,64,71,2,91,33,19,84,1,194,42,257,339,384,46,56,1089,99,111,1061,400,127,11,10,410,175,18,30,85,73,26,40,137,170,192,112,183,3,63,146,118,51,77,15,106,71,954,148
educational,13,6,51,78,146,61,20,22,44,38,18,70,4,24,29,0,176,20,287,162,292,113,29,365,228,41,407,167,116,10,12,158,155,9,26,18,45,29,53,189,91,112,131,47,8,67,145,56,11,60,11,508,62,405,165
religion,14,4,29,44,274,11,9,2,31,42,4,41,2,32,21,0,7,21,438,1330,131,73,48,194,647,15,204,16,116,0,25,238,138,0,20,5,0,4,28,20,64,36,89,8,0,11,53,39,16,62,3,321,18,251,220
travel,3,1,13,31,56,3,4,19,4,4,6,6,48,9,14,0,8,6,2,3,5,22,13,9,2,0,13,16,66,0,14,0,8,5,3,1,14,2,21,11,28,17,12,12,0,16,5,4,10,30,9,8,7,7,6
music_and_entertainment,34,202,143,26,920,43,29,55,35,66,29,140,6,100,78,2,21,38,31,180,45,99,10,33,46,54,18,38,592,19,92,171,80,5,34,26,39,69,87,26,213,14,146,21,29,131,23,74,65,233,33,22,88,35,70
