cluster,category,score
cluster10,autos_and_vehicles,0.15308988764044945
cluster11,autos_and_vehicles,0.1423916123547747
cluster12,travel,0.15377268385864373
cluster13,health,0.31876876876876875
cluster14,travel,0.13027352804821513
cluster15,citizen_journalism,0.386734693877551
cluster16,citizen_journalism,0.1744107744107744
cluster17,travel,0.1556122448979592
cluster18,citizen_journalism,0.1883308714918759
cluster19,autos_and_vehicles,0.22391304347826088
cluster21,citizen_journalism,0.20116279069767443
cluster20,conferences_and_other_events,0.18213058419243985
cluster23,autos_and_vehicles,0.16036151323682316
cluster22,autos_and_vehicles,0.15658362989323843
cluster25,travel,0.16705259675818723
cluster24,autos_and_vehicles,0.16959511077158135
cluster8,travel,0.17709867452135494
cluster9,citizen_journalism,0.1468071099407505
cluster2,travel,0.2011704462326262
cluster3,autos_and_vehicles,0.26602739726027397
cluster0,food_and_drink,0.24489795918367346
cluster1,citizen_journalism,0.28715192965315095
cluster6,citizen_journalism,0.5425079702444209
cluster7,travel,0.13243408951563457
cluster4,citizen_journalism,0.4430443548387097
cluster5,citizen_journalism,0.437957241281341
