cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster48,28,30,6,143,43,90,37,2,4,86,38,32,25,3,12,26,15,22,40,13,10,1,15,163,47,10
cluster58,46,84,2,112,32,58,20,9,8,21,11,10,5,90,1,0,9,12,0,4,3,0,10,90,38,36
cluster59,40,121,0,98,43,35,29,6,7,33,5,15,27,38,1,22,24,40,0,11,3,0,18,124,22,88
cluster54,56,74,3,164,31,48,31,2,2,9,1,16,27,46,0,9,11,48,3,12,8,0,20,48,7,64
cluster55,103,61,3,102,50,146,59,6,15,74,78,14,11,17,5,122,27,60,7,12,10,1,58,221,40,35
cluster56,99,369,8,100,51,74,117,10,40,353,5,43,53,42,5,14,4,88,1,11,27,0,144,384,124,140
cluster57,53,257,7,89,109,88,46,10,16,159,3,54,14,44,15,36,24,50,2,4,13,0,62,200,63,60
cluster50,52,117,0,77,15,10,11,4,8,88,1,19,5,34,0,4,4,5,0,0,28,0,18,52,29,36
cluster51,95,165,10,458,46,400,133,3,2,38,14,294,22,256,8,20,150,66,12,49,369,0,55,375,39,22
cluster52,82,104,0,168,22,23,10,2,4,35,0,14,1,127,0,0,16,10,0,1,9,0,22,74,17,65
cluster53,17,8,1,30,70,18,20,0,18,4,4,2,24,15,0,4,2,2,0,2,12,0,1,85,9,25
cluster10,27,136,0,70,14,29,8,1,6,60,1,10,3,65,0,2,13,21,0,5,47,0,19,72,34,47
cluster11,44,13,3,91,46,163,96,19,16,20,6,10,3,29,7,26,1,38,2,9,3,0,38,98,27,31
cluster38,224,69,23,1015,165,622,206,13,12,22,18,168,330,142,11,32,41,25,0,44,72,12,62,291,47,23
cluster39,61,115,19,84,51,235,81,8,21,135,22,25,6,16,20,88,19,95,8,19,17,0,107,235,80,28
cluster14,95,117,13,313,35,227,86,12,5,93,0,174,32,76,7,4,43,41,0,8,7,0,63,241,16,116
cluster15,20,11,47,57,47,226,143,24,9,21,13,2,2,24,6,14,2,13,0,23,1,0,11,209,40,4
cluster16,32,108,13,89,40,190,133,26,2,70,0,886,11,50,1,6,14,26,0,11,10,0,86,123,27,43
cluster17,2,62,1,119,67,55,39,1,16,26,0,0,17,10,5,1,24,95,49,16,6,0,21,93,53,30
cluster32,33,155,1,107,60,35,36,8,15,63,2,31,9,29,3,32,18,32,0,10,15,0,59,79,41,34
cluster19,64,194,4,93,68,61,21,10,4,61,2,40,15,47,1,11,18,42,2,1,12,0,42,154,37,97
cluster30,46,193,9,2877,111,1046,193,0,9,24,488,104,376,149,1,71,55,25,13,112,121,0,176,494,210,121
cluster31,76,89,22,39,46,103,86,16,8,111,2,27,30,32,2,8,9,49,0,9,7,2,15,204,57,60
cluster36,84,16,19,42,108,182,93,16,11,32,5,3,6,63,4,11,5,21,0,5,1,3,15,140,25,13
cluster37,43,274,0,141,31,12,16,2,6,85,8,24,28,55,0,7,12,7,0,6,73,1,22,71,45,52
cluster34,42,42,1,471,33,73,20,2,0,19,2,22,15,87,0,0,25,3,0,4,36,0,8,135,15,34
cluster35,29,348,0,37,11,14,15,5,2,64,0,20,56,24,2,1,25,57,0,2,19,0,18,62,20,55
cluster28,10,60,58,23,4,235,339,13,0,1,0,42,7,12,1,4,87,9,0,5,0,1,1,110,4,12
cluster12,20,34,0,2588,252,39,176,0,3,13,1,86,1,0,3,10,9,9,0,1,15,0,32,472,2,12
