category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,99,56,0,28,27,76,13,146,33,73,68,82,17,68,36,316,75,89,17,6,51,102,21,65,35,10,164,4,1,129,91,34,107,63,284,29,1,146,177,95,61,224,40,46,44,27,524,20,20,95,2,32,64,88,76,46,43,84,29,42,15,103,33,53,52
movies_and_television,369,74,0,30,31,358,3,104,103,185,121,104,8,120,337,571,59,38,11,15,28,78,53,132,181,60,121,15,12,332,331,44,194,64,517,5,4,49,318,165,115,69,121,84,13,136,346,34,11,117,62,108,194,70,89,193,274,16,348,42,141,61,155,257,117
web_development_and_sites,8,3,0,6,73,2,59,3,1,4,0,0,1,1,4,4,15,0,0,1,1,14,4,29,2,58,9,7,6,3,19,3,9,50,2,51,3,0,6,10,19,23,0,2,3,0,6,0,47,13,1,13,4,1,22,9,0,19,0,1,0,3,1,7,0
politics,100,164,0,143,24,230,141,910,90,314,133,168,30,148,41,185,71,1129,2,70,6,827,18,603,115,23,133,341,128,164,1678,3803,97,503,163,287,106,211,268,458,84,1015,98,112,91,70,97,2588,57,313,119,89,93,131,39,2877,141,42,37,471,10,102,107,89,77
sports,51,31,0,43,40,68,5,41,7,22,33,22,70,41,65,206,86,30,4,2,21,18,54,163,37,4,58,1,54,156,64,7,108,26,118,17,24,28,100,46,51,165,43,32,46,14,199,252,47,35,67,40,68,20,46,111,31,108,11,33,27,50,60,109,15
technology,74,48,1,90,164,128,307,164,66,20,41,23,18,91,27,75,95,49,6,16,58,130,22,552,38,235,109,30,19,47,499,55,131,32,46,497,73,100,51,400,235,622,35,58,163,29,59,39,226,227,55,190,61,79,103,1046,12,182,14,73,10,146,35,88,10
educational,117,31,0,37,304,52,336,103,49,29,9,10,20,71,103,63,97,37,9,14,4,21,11,223,23,339,167,4,47,49,322,38,131,289,34,296,219,19,64,133,81,206,29,20,96,8,48,176,143,86,39,133,21,18,86,193,16,93,15,20,7,59,36,46,11
religion,43,16,0,32,39,48,8,114,599,23,14,14,2,40,43,202,43,12,0,5,5,604,5,237,51,42,21,2,44,49,123,105,93,35,91,1,292,8,217,294,25,168,15,10,10,10,91,86,2,174,0,886,40,5,27,104,24,3,20,22,13,14,31,54,19
travel,40,2,0,4,2,18,2,0,0,3,9,4,18,8,23,26,14,0,0,2,5,0,18,11,5,0,11,47,15,25,6,0,11,10,32,4,0,3,2,2,21,12,7,8,16,6,50,3,9,5,16,2,4,2,8,9,6,11,2,0,3,15,15,16,8
music_and_entertainment,353,9,0,86,35,205,5,59,10,57,64,35,4,79,35,382,48,44,34,34,209,123,85,54,19,1,37,5,11,150,34,71,192,20,693,4,4,27,52,38,135,22,33,21,20,60,218,13,21,93,26,70,61,17,111,24,85,32,64,19,22,74,63,159,88
