cluster,category,score
cluster10,autos_and_vehicles,0.3886223440712817
cluster11,citizen_journalism,0.4213547646383467
cluster38,default_category,0.18816990869392616
cluster39,citizen_journalism,0.20977808599167821
cluster14,conferences_and_other_events,0.18337408312958436
cluster15,autos_and_vehicles,0.19707401032702238
cluster16,citizen_journalism,0.22287047841306884
cluster17,autos_and_vehicles,0.14969285483349498
cluster18,health,0.20437956204379562
cluster19,conferences_and_other_events,0.16287678476996298
cluster30,citizen_journalism,0.1523702031602709
cluster31,travel,0.17714285714285713
cluster36,autos_and_vehicles,0.19148936170212766
cluster37,comedy,0.26666666666666666
cluster34,travel,0.12731229597388466
cluster35,travel,0.14794215795328142
cluster12,travel,0.22007722007722008
cluster13,citizen_journalism,0.27126254622292656
cluster43,autos_and_vehicles,0.16853360488798372
cluster42,citizen_journalism,0.2516585581601061
cluster41,health,0.36523593708344443
cluster40,citizen_journalism,0.1457142857142857
cluster44,conferences_and_other_events,0.2765957446808511
cluster29,citizen_journalism,0.1500306184935701
cluster28,autos_and_vehicles,0.21901709401709402
cluster21,citizen_journalism,0.3177170477783975
cluster20,health,0.28734622144112476
cluster23,travel,0.1664779161947905
cluster22,default_category,0.3184668989547038
cluster25,autos_and_vehicles,0.1743295019157088
cluster24,autos_and_vehicles,0.16840199185151652
cluster27,citizen_journalism,0.20710784313725492
cluster26,autos_and_vehicles,0.22795969773299748
cluster32,citizen_journalism,0.37765334027868214
cluster8,conferences_and_other_events,0.21756487025948104
cluster9,citizen_journalism,0.5091392489199069
cluster33,citizen_journalism,0.1804733727810651
cluster2,citizen_journalism,0.6693474264705882
cluster3,art,0.17180616740088106
cluster0,food_and_drink,0.18891625615763546
cluster1,travel,0.12973760932944606
cluster6,travel,0.18449519230769232
cluster7,travel,0.12783375314861462
cluster4,citizen_journalism,0.6865348980852378
cluster5,art,0.17105263157894737
