cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster69,144,156,26,4481,51,403,161,9,0,173,3,239,74,272,2,6,143,128,3,26,16,0,104,503,20,215
cluster68,16,94,0,40,4,8,3,1,1,26,0,3,1,25,0,1,2,3,0,0,10,0,10,22,16,42
cluster58,16,7,2,25,65,18,9,0,5,4,6,0,0,13,0,6,3,1,1,2,12,0,1,49,11,12
cluster59,17,143,0,13,29,13,9,3,3,31,0,15,2,20,1,1,3,15,1,2,6,0,7,48,12,28
cluster54,146,153,16,255,106,282,222,6,4,45,21,119,79,109,7,23,83,47,0,20,54,2,55,218,44,26
cluster55,82,72,1,134,23,84,18,0,1,25,13,5,56,134,0,6,13,7,0,3,22,0,22,67,23,54
cluster56,18,113,6,45,49,38,20,6,6,39,2,20,8,15,1,11,16,19,0,8,3,0,29,47,23,22
cluster57,25,70,3,100,8,47,23,5,13,7,5,35,17,31,0,2,19,16,1,0,11,0,21,58,6,57
cluster50,0,0,0,0,4,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
cluster51,80,125,18,85,54,122,141,7,6,73,6,113,12,33,11,29,58,34,0,26,40,4,60,184,55,22
cluster52,57,185,0,75,119,29,31,10,10,110,8,22,9,29,4,35,13,27,2,3,5,0,78,121,44,65
cluster53,15,137,3,21,28,9,15,6,4,14,0,17,1,11,0,6,3,2,0,0,3,0,7,32,5,26
cluster10,28,18,0,8,8,9,19,0,4,29,5,9,0,4,1,14,4,5,0,2,5,0,11,32,13,20
cluster11,68,200,2,147,42,83,30,9,14,73,5,21,8,146,1,1,23,28,0,7,42,0,27,143,67,78
cluster38,15,36,1,121,14,19,26,0,2,64,535,2,0,31,0,18,2,23,0,4,8,0,52,79,24,17
cluster39,47,47,0,93,33,11,8,1,1,28,4,10,27,86,0,0,3,7,0,0,49,0,2,41,9,21
cluster14,13,44,3,12,27,21,9,0,17,50,3,5,0,30,6,12,0,42,49,7,1,0,49,143,68,23
cluster15,375,897,7,261,149,83,133,14,50,844,5,199,37,76,5,23,15,178,1,11,52,0,337,676,165,217
cluster16,41,24,1,2,24,70,10,1,4,208,9,5,1,2,13,13,11,49,1,5,2,0,52,150,42,39
cluster17,19,63,13,75,61,339,128,22,15,21,20,15,4,29,5,54,11,37,1,26,4,0,57,188,26,7
cluster32,74,78,0,38,28,71,59,7,7,87,24,18,4,4,4,55,12,51,1,12,17,0,60,114,54,25
