category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,68,229,142,85,73,1321,325,7,223,39,136,217,171,258,140,90,322,151,216,58,20,107,170,15,39,175
movies_and_television,222,97,241,117,220,2005,395,8,971,73,327,93,280,276,189,131,1005,327,330,142,22,136,127,74,206,503
web_development_and_sites,8,23,96,0,3,33,80,0,11,11,60,1,27,41,1,67,83,6,69,1,10,4,13,6,6,5
politics,103,155,1187,173,187,606,2939,2,253,31,6166,1758,217,5105,223,155,575,311,1052,112,379,254,142,259,120,510
sports,69,189,199,22,47,638,222,4,162,100,421,69,163,76,39,101,430,124,87,47,52,89,66,126,37,72
technology,81,397,1219,26,88,340,1560,4,114,31,1198,197,287,537,96,476,444,125,509,44,48,265,153,78,55,52
educational,39,153,677,13,30,318,763,4,260,25,882,62,275,265,31,240,450,60,427,47,22,173,207,87,39,61
religion,51,20,548,16,24,479,293,0,221,6,514,31,146,402,26,26,236,48,2123,28,2,51,22,44,55,57
travel,5,32,12,4,14,155,23,0,25,27,23,0,16,2,12,31,81,16,4,7,60,23,11,31,8,14
music_and_entertainment,69,284,71,37,86,1864,52,24,136,113,114,80,236,229,119,159,570,108,201,46,7,99,38,38,21,157
the_environment,13,104,33,0,5,18,64,1,2,12,994,4,18,4,13,42,95,6,0,7,6,35,21,1,4,15
school_and_education,13,25,44,2,10,120,18,0,18,3,9,4,15,17,6,33,63,18,38,7,2,25,20,1,10,5
health,16,20,70,1,8,121,557,0,102,4,391,232,60,105,59,9,75,95,37,30,48,13,21,34,18,79
citizen_journalism,53,87,289,132,158,193,543,3,166,47,206,389,106,393,167,42,190,161,257,41,38,48,29,16,40,289
personal_or_auto-biographical,1,23,15,0,1,40,17,0,17,13,4,1,40,3,0,32,41,0,7,1,2,11,7,7,0,2
food_and_drink,13,143,46,0,2,75,56,0,13,33,94,2,38,18,9,105,215,18,17,28,1,122,30,2,9,12
conferences_and_other_events,19,46,228,22,23,59,311,0,87,0,141,85,87,191,16,22,121,39,151,31,2,35,18,31,23,33
gaming,53,118,75,11,30,398,153,3,163,136,58,11,121,211,18,116,204,81,137,47,13,81,97,121,20,26
literature,2,12,13,0,0,6,3,0,1,67,11,0,0,4,0,11,18,5,5,0,0,5,6,85,1,0
business,1,25,114,1,9,33,86,0,30,9,134,18,53,34,3,43,58,18,20,12,31,28,6,35,0,9
the_mainstream_media,16,14,411,10,48,132,255,3,46,6,157,67,95,35,47,18,60,47,87,5,12,23,9,16,13,115
autos_and_vehicles,0,4,7,0,0,0,13,0,0,1,6,0,4,0,0,1,6,0,1,0,0,0,0,0,0,1
comedy,52,121,112,26,29,710,164,1,66,96,271,43,127,138,46,116,383,40,115,20,1,86,51,47,26,37
default_category,188,505,718,77,157,1762,1176,15,319,275,1321,411,432,724,121,481,805,160,532,161,147,281,244,163,86,286
videoblogging,46,113,87,18,73,472,107,8,68,170,278,53,141,34,53,133,284,41,67,31,25,90,42,103,13,71
documentary,108,84,39,67,80,605,60,11,176,39,163,140,107,308,85,36,244,131,171,94,30,73,18,65,71,122
