cluster,category,score
cluster10,food_and_drink,0.2507836990595611
cluster11,travel,0.1941941941941942
cluster12,citizen_journalism,0.14593140551445863
cluster13,autos_and_vehicles,0.14776951672862454
cluster14,travel,0.16417910447761194
cluster15,health,0.17326362957430919
cluster16,autos_and_vehicles,0.14586070959264127
cluster17,autos_and_vehicles,0.35232876712328765
cluster18,autos_and_vehicles,0.17556071152358854
cluster19,travel,0.15906009941256213
cluster29,autos_and_vehicles,0.145769622833843
cluster28,citizen_journalism,0.18893488897252542
cluster21,autos_and_vehicles,0.1810344827586207
cluster20,travel,0.15434924787442772
cluster23,autos_and_vehicles,0.1605518971464409
cluster22,autos_and_vehicles,0.17516447368421054
cluster25,citizen_journalism,0.3756243756243756
cluster24,gaming,0.39795171909290417
cluster27,travel,0.12968967114404817
cluster26,citizen_journalism,0.2082791906441433
cluster8,citizen_journalism,0.5549994438883328
cluster9,citizen_journalism,0.1762266758811334
cluster2,autos_and_vehicles,0.17392130773617184
cluster3,health,0.33097649531817314
cluster0,citizen_journalism,0.28950822982934465
cluster1,citizen_journalism,0.46399571012716406
cluster6,conferences_and_other_events,0.17729688686408504
cluster7,travel,0.13342746205435935
cluster4,citizen_journalism,0.4452965235173824
cluster5,autos_and_vehicles,0.16064723761845165
