cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,22,17,0,1,19,13,5,1,3,73,2,18,3,0,1,4,2,15,1,2,4,0,14,49,23,10
cluster11,3,4,1,24,3,26,14,4,3,7,1,3,2,9,3,9,3,5,1,4,4,0,4,32,9,8
cluster12,0,1,1,113,1,1,1,0,5,0,0,0,0,26,0,0,0,2,0,7,0,0,0,19,4,2
cluster13,0,0,12,0,0,29,50,2,0,0,1,3,2,1,0,0,2,3,0,1,0,0,0,18,2,0
cluster14,2,6,0,9,5,15,9,2,2,4,14,6,1,1,1,3,2,0,0,6,4,0,1,5,4,1
cluster15,0,4,1,23,6,10,9,1,2,4,1,1,1,5,3,0,6,4,2,3,1,0,3,27,7,2
cluster16,5,16,0,77,8,34,20,0,1,10,10,11,8,7,0,4,6,2,3,9,11,0,17,39,7,3
cluster17,6,14,0,28,11,39,13,2,0,10,2,9,14,11,1,1,9,5,2,3,35,0,6,36,4,2
cluster18,6,8,0,0,6,11,7,0,3,53,0,4,2,0,3,6,2,4,1,2,3,0,8,34,23,7
cluster19,3,0,0,5,4,15,9,0,1,10,3,8,0,3,14,2,2,3,3,7,3,0,1,27,12,8
cluster21,27,30,1,2,24,13,6,8,6,42,1,27,6,4,5,2,5,5,0,3,1,0,19,49,17,8
cluster20,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
cluster23,2,10,1,4,5,3,1,0,7,3,1,1,1,2,5,8,0,11,10,1,0,0,7,27,11,6
cluster22,2,81,3,8,9,23,15,2,3,22,0,37,3,7,4,14,8,8,2,6,6,0,12,40,23,8
cluster25,4,3,0,31,3,5,3,0,3,7,3,1,5,7,2,3,2,6,45,3,2,0,2,39,7,5
cluster24,8,21,1,44,10,21,12,3,1,4,1,15,4,15,0,1,4,3,0,3,1,0,9,22,4,12
cluster8,15,22,1,10,17,22,30,16,3,16,2,12,4,11,2,7,6,6,0,6,2,0,10,38,22,8
cluster9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cluster2,3,11,1,178,20,14,8,0,2,0,1,2,21,3,0,10,1,1,0,4,0,0,10,25,5,2
cluster3,3,7,2,2,11,4,2,2,2,24,1,0,0,4,3,1,0,15,1,0,1,0,8,16,17,0
cluster0,4,3,1,4,3,6,5,0,0,9,0,79,0,0,1,0,4,4,0,2,3,0,4,18,5,2
cluster1,10,2,4,11,12,42,23,6,2,4,1,10,9,4,2,3,7,1,0,9,4,5,4,27,8,2
cluster6,2,10,0,14,5,2,3,0,0,2,1,0,0,0,0,0,1,1,12,0,1,0,2,15,11,5
cluster7,4,0,5,2,10,22,25,4,1,2,1,1,0,9,1,0,0,1,0,1,0,1,2,33,8,3
cluster4,0,0,3,5,5,34,24,0,0,3,2,15,2,2,0,0,2,4,0,4,1,1,0,19,4,2
cluster5,3,2,0,0,1,3,1,0,0,10,0,0,0,0,0,0,0,1,0,0,2,0,3,6,5,3
