category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,2,1,2,2,1,0,20,1,2,25,4,8,0,7,0,3,0,5,2,0,6,7,1,0,0,1,1,0,1,2,2,2,3,10,13
movies_and_television,12,12,9,2,6,0,10,6,0,15,7,52,0,8,0,3,0,44,11,1,5,5,0,0,3,29,4,0,2,1,1,3,0,0,21
web_development_and_sites,0,2,1,0,1,0,0,2,0,0,1,1,2,0,0,0,12,1,0,1,0,0,3,0,1,0,1,0,1,0,2,0,0,4,2
politics,64,10,5,19,2,67,0,3,1,1,2,17,4,6,22,0,0,2,8,49,28,36,1,0,19,5,159,0,28,8,3,12,2,8,4
sports,6,2,9,2,4,0,19,6,3,19,10,10,3,5,7,1,0,10,2,0,9,1,1,0,6,3,15,1,4,1,2,3,6,13,16
technology,26,19,11,3,8,1,9,1,11,11,5,18,35,6,1,3,24,20,2,4,33,11,17,0,9,6,12,0,1,7,12,5,14,42,20
educational,17,13,10,8,3,2,6,2,4,6,2,14,23,3,5,1,49,6,3,0,19,7,20,0,6,1,3,1,2,3,6,4,5,19,23
religion,8,10,17,0,12,0,14,0,7,21,1,15,15,1,5,0,2,16,0,0,7,66,0,0,1,20,2,0,1,3,2,0,2,6,9
travel,1,3,1,1,1,0,2,3,1,7,2,1,0,3,1,0,0,3,0,5,0,0,0,0,1,0,1,0,3,1,2,1,2,2,2
music_and_entertainment,8,8,1,2,2,0,75,3,11,33,26,9,3,26,0,10,0,35,2,0,5,8,0,0,4,10,0,3,1,7,3,2,5,2,18
the_environment,10,1,0,0,13,0,2,1,3,1,0,1,2,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,5,1,0,1,1,0
school_and_education,0,1,4,2,5,0,1,0,0,7,2,0,0,0,1,0,0,1,0,0,2,1,4,0,1,2,0,0,0,0,0,0,1,3,15
health,5,1,4,0,1,0,3,0,0,6,0,0,3,9,0,0,1,1,0,1,13,1,0,0,1,1,20,0,4,1,0,0,0,8,4
citizen_journalism,8,1,8,7,0,18,0,2,2,3,4,10,1,2,8,1,1,2,0,8,9,5,9,0,3,0,0,0,2,0,1,3,4,5,4
personal_or_auto-biographical,0,5,0,0,0,0,0,3,11,4,2,0,0,2,0,0,0,6,0,0,0,0,1,0,3,2,0,0,0,3,3,1,1,2,2
food_and_drink,3,4,1,4,2,0,3,1,2,2,2,7,0,16,1,0,0,4,0,0,2,0,0,0,0,2,4,0,3,0,3,1,3,1,7
conferences_and_other_events,3,4,4,0,2,0,1,0,2,3,0,5,2,1,1,0,1,6,1,0,5,2,0,0,6,7,0,0,0,4,0,1,1,7,5
gaming,2,1,0,2,0,0,10,6,2,3,15,5,4,7,0,1,3,10,0,1,4,3,0,0,5,3,0,0,3,3,3,5,3,1,5
literature,3,1,0,2,0,0,0,1,0,0,2,0,0,8,0,0,0,3,13,0,0,1,0,0,3,1,0,0,33,11,0,1,0,0,0
business,8,9,1,3,6,4,2,2,2,2,0,3,3,3,0,0,1,1,0,4,1,3,1,0,3,2,3,0,0,5,1,0,1,7,5
the_mainstream_media,13,2,0,1,3,0,2,0,3,2,1,2,1,0,0,2,0,5,1,0,32,4,0,0,1,2,0,0,1,1,1,1,2,4,2
autos_and_vehicles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
comedy,11,3,5,2,0,0,12,6,1,16,7,14,0,15,0,3,0,13,2,0,4,5,1,0,3,1,5,0,1,1,1,0,1,4,9
default_category,32,23,14,12,7,7,41,19,17,36,17,30,18,29,10,9,15,45,15,6,23,17,16,2,23,11,15,2,22,29,19,12,20,22,29
videoblogging,6,11,1,4,2,1,20,5,11,16,17,11,4,23,2,6,1,17,11,3,3,5,4,0,7,3,2,1,6,5,6,2,7,5,15
documentary,3,5,6,8,1,1,9,3,5,8,1,3,2,6,0,3,0,3,7,1,2,2,1,0,1,8,2,0,3,1,2,0,3,2,7
