category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,22,0,8,1,4,0,0,1,8,0,3,0,1,2,8,5,2,1,7,0,3,2,1,2,0,0,3,15,1,0,0,2,2,1,2,0,0,2,1,3,2,2,0,3,3,5,0,5,1,0
movies_and_television,15,1,6,2,7,1,0,0,14,0,34,2,31,0,5,0,0,1,2,4,0,19,8,3,1,0,3,6,3,0,0,0,3,5,5,5,0,10,0,5,2,10,0,2,1,41,2,3,8,2
web_development_and_sites,0,2,1,0,1,1,0,0,2,9,0,1,0,0,1,1,2,0,0,0,3,1,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,1,0
politics,1,0,0,0,8,2,48,0,5,0,5,54,2,4,39,0,5,5,0,10,6,1,56,21,0,0,0,0,141,1,4,1,9,0,9,2,0,5,1,2,11,27,32,7,12,5,22,23,2,7
sports,14,2,6,6,7,0,0,2,8,0,5,0,3,1,2,5,2,0,0,5,7,6,8,4,1,1,1,14,12,3,7,4,2,3,0,5,0,2,1,9,3,5,0,0,7,6,2,11,6,1
technology,11,8,5,7,7,2,0,6,10,21,15,2,3,7,15,20,11,7,6,2,30,7,18,3,1,0,3,9,10,23,0,8,1,1,9,5,0,2,17,3,5,12,1,9,12,8,7,31,3,4
educational,6,18,3,5,2,3,1,0,9,33,10,1,1,6,4,5,6,2,0,0,18,8,9,8,1,1,1,5,1,20,3,4,3,0,3,3,0,1,19,2,2,11,3,8,17,5,3,16,2,4
religion,13,15,9,6,3,68,0,2,1,1,9,0,7,2,8,5,1,2,1,0,6,18,4,0,0,0,0,10,2,8,1,2,0,4,13,4,0,0,0,1,0,7,2,3,3,15,0,6,0,1
travel,5,0,1,1,0,0,0,0,3,0,2,5,2,1,0,1,2,1,0,3,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,2,0,1,0,1,1,4,2,1,4,0
music_and_entertainment,32,0,13,10,2,2,0,3,7,0,5,0,7,4,7,6,3,7,41,4,0,10,0,2,3,3,11,53,1,3,1,2,1,6,6,0,0,2,0,18,2,7,0,5,3,22,1,4,3,0
the_environment,0,0,2,4,1,0,0,1,1,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,11,0,1,0,0,0,8,0,4,1,0,0,0,2,0
school_and_education,2,4,9,0,1,0,0,0,1,0,1,0,2,1,0,2,0,0,0,0,3,2,0,1,1,0,0,1,0,0,0,1,0,0,0,4,0,0,3,2,0,0,0,0,10,0,0,2,0,0
health,6,1,0,0,2,0,0,0,2,1,1,1,1,1,2,2,0,1,0,7,3,1,23,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,2,19,0,0
citizen_journalism,1,2,4,0,9,0,10,1,0,1,2,9,1,4,7,2,1,0,0,4,3,3,5,5,2,0,0,0,0,0,2,3,1,0,0,0,0,0,8,3,2,4,13,0,3,3,1,9,2,1
personal_or_auto-biographical,3,0,2,2,0,0,0,9,2,0,2,0,0,3,0,4,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,0,4,0,1,1,2
food_and_drink,1,1,1,1,0,0,0,1,7,0,4,0,1,2,1,1,3,0,1,13,1,5,1,2,0,0,0,3,3,0,0,0,2,0,5,2,0,0,0,1,1,1,0,1,2,6,1,1,2,0
conferences_and_other_events,1,3,3,3,4,0,0,0,0,0,5,0,4,3,2,1,0,3,1,0,7,3,3,0,1,0,0,1,1,2,0,1,0,1,4,1,0,0,0,0,1,1,0,1,2,1,4,3,0,3
gaming,4,3,3,2,0,0,0,1,4,1,5,1,1,1,3,1,2,2,2,4,1,2,1,0,4,0,1,10,0,2,1,1,3,1,3,0,0,0,1,15,5,2,0,1,0,7,0,3,6,0
literature,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,13,0,11,0,0,0,2,1,0,0,0,0,0,0,0,28,0,1,0,0,9,0,0,1,3,0,0,0,2,7,0,2,0
business,1,0,1,0,0,1,2,3,2,0,3,4,2,3,1,3,1,4,0,1,8,2,5,3,2,0,0,1,1,3,2,0,0,1,5,3,0,0,1,0,0,5,3,2,3,1,1,1,1,0
the_mainstream_media,1,0,1,3,1,2,0,2,0,0,3,0,1,2,2,2,1,1,0,1,1,3,9,1,3,0,2,0,1,0,0,1,0,3,0,2,0,0,0,1,1,5,0,20,1,1,0,11,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,16,0,0,1,4,2,0,0,12,0,6,0,0,1,5,4,1,1,2,7,1,6,11,2,0,0,3,10,2,0,1,1,2,1,2,0,0,2,1,7,0,5,0,1,1,13,0,4,6,2
default_category,24,3,21,18,8,6,6,9,22,13,17,6,9,17,12,11,15,25,10,19,18,20,23,9,8,2,6,34,15,18,7,11,19,10,14,7,2,13,15,12,8,18,3,9,10,30,11,16,18,7
videoblogging,13,0,7,3,3,4,1,6,9,1,9,4,1,4,1,8,4,5,9,13,3,3,5,2,5,1,5,16,0,3,3,6,8,5,6,2,0,9,3,13,2,6,0,0,8,11,3,4,5,1
documentary,4,0,5,3,5,1,1,3,4,0,2,1,6,5,7,2,2,0,4,3,1,3,1,6,1,0,3,6,0,2,0,0,5,2,0,1,0,4,1,0,1,3,0,0,2,3,1,1,3,1
