cluster,category,score
cluster10,food_and_drink,0.4117647058823529
cluster11,travel,0.20930232558139536
cluster12,citizen_journalism,0.1796116504854369
cluster13,travel,1.0
cluster14,citizen_journalism,0.6335877862595419
cluster15,travel,0.22058823529411764
cluster16,food_and_drink,0.2620320855614973
cluster17,travel,0.2631578947368421
cluster18,food_and_drink,0.14606741573033707
cluster19,default_category,0.27058823529411763
cluster29,conferences_and_other_events,0.18840579710144928
cluster28,citizen_journalism,0.22580645161290322
cluster21,travel,0.1380952380952381
cluster20,conferences_and_other_events,0.21428571428571427
cluster23,citizen_journalism,0.5507246376811594
cluster22,school_and_education,0.24516129032258063
cluster25,autos_and_vehicles,0.232
cluster24,autos_and_vehicles,0.17770034843205576
cluster27,travel,0.24742268041237114
cluster26,health,0.34299516908212563
cluster8,citizen_journalism,0.24918032786885247
cluster9,travel,0.21333333333333335
cluster2,citizen_journalism,0.5873015873015873
cluster3,travel,0.18446601941747573
cluster0,default_category,0.3374233128834356
cluster1,food_and_drink,0.23870967741935484
cluster6,travel,0.3063063063063063
cluster7,travel,0.12568306010928962
cluster4,gaming,0.1320754716981132
cluster5,food_and_drink,0.21666666666666667
