cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,2,0,4,5,2,11,10,2,2,3,0,0,0,0,1,2,0,2,0,1,1,0,2,20,6,2
cluster11,14,40,1,1,14,16,8,12,5,40,0,18,2,2,4,4,2,11,1,3,2,0,24,47,16,7
cluster38,2,0,0,1,3,9,2,0,0,3,3,1,0,1,4,2,2,0,1,4,2,0,0,12,5,5
cluster13,0,0,0,63,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,8,2,1
cluster14,7,2,0,0,2,7,0,0,0,36,0,1,0,0,1,1,1,1,1,0,0,0,0,9,9,5
cluster15,7,12,2,2,8,7,9,2,2,11,3,3,6,2,3,4,2,5,1,2,1,0,9,21,16,2
cluster16,2,2,0,19,2,10,11,1,1,3,0,0,0,4,1,3,0,2,1,3,1,0,2,12,1,6
cluster17,5,7,0,23,10,15,10,3,2,2,3,2,2,14,1,11,1,3,1,5,0,0,6,27,6,1
cluster18,4,3,1,41,5,12,6,1,0,2,0,4,4,11,0,0,6,0,0,2,1,0,5,14,1,6
cluster33,3,2,2,2,5,13,15,1,1,6,2,2,1,1,1,0,2,2,1,0,2,1,2,19,7,2
cluster30,2,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,8,2,4
cluster31,0,1,1,54,1,1,1,0,5,0,1,0,1,10,0,1,0,1,0,5,0,0,0,7,2,0
cluster36,3,6,0,2,2,10,11,2,0,6,0,66,0,0,0,0,2,2,0,1,3,0,1,7,3,1
cluster37,2,5,0,166,10,25,8,0,1,1,0,2,24,4,0,1,2,2,0,6,8,0,9,26,3,1
cluster34,30,9,0,1,18,15,7,2,6,64,0,19,7,1,3,1,3,13,1,1,1,0,17,43,19,8
cluster35,0,0,0,0,0,2,1,0,0,2,0,0,0,1,5,0,0,0,0,1,0,0,0,3,2,0
cluster12,0,2,0,0,2,2,2,1,0,2,1,0,0,3,2,0,2,4,1,1,2,0,0,8,3,2
cluster39,0,1,1,17,4,7,5,0,1,2,0,1,1,0,1,0,4,0,1,2,0,0,3,10,4,0
cluster29,0,1,2,6,1,33,18,5,1,4,3,4,1,4,3,1,1,4,0,9,2,0,1,29,6,2
cluster28,1,3,5,2,2,11,18,5,0,2,0,23,0,0,0,1,7,0,2,3,1,0,2,17,2,1
cluster21,1,9,0,1,2,1,0,0,1,2,1,0,0,0,0,1,0,5,6,1,0,0,5,12,5,6
cluster20,1,3,0,6,0,17,5,1,1,1,2,6,1,1,2,2,0,1,0,1,0,0,1,8,4,1
cluster23,2,3,0,3,5,6,10,2,1,2,12,1,1,0,0,1,0,0,0,5,16,0,0,8,2,0
cluster22,5,19,1,0,7,4,2,0,0,7,0,4,0,6,0,0,4,1,0,1,2,0,0,9,6,1
cluster25,2,20,2,3,10,15,12,1,0,13,0,25,2,4,1,12,5,2,1,3,2,0,3,27,11,4
cluster24,4,7,1,0,4,4,1,0,3,20,0,1,0,4,2,1,0,10,1,0,1,0,5,14,15,0
cluster27,3,2,0,0,6,9,6,1,2,16,5,12,0,0,3,3,3,3,2,1,2,0,1,23,7,4
cluster26,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
cluster32,2,13,2,40,7,21,25,1,0,4,6,16,2,5,0,2,2,0,2,6,6,0,9,22,4,4
cluster8,1,1,0,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,1,5,2,2
cluster9,5,22,0,35,4,14,9,1,0,9,1,20,2,6,0,6,5,4,0,1,2,0,7,19,5,6
cluster19,3,2,0,12,3,9,6,0,0,3,1,0,1,3,1,1,1,5,2,0,2,0,1,8,3,1
cluster2,6,3,10,28,18,68,47,3,1,5,3,9,22,13,2,1,7,2,0,4,19,5,6,42,7,2
cluster3,2,9,0,9,2,2,3,0,0,3,1,0,0,1,0,0,1,0,12,0,1,0,2,15,10,5
cluster0,0,1,0,27,6,2,4,0,1,1,0,1,1,4,1,1,1,1,20,1,0,0,0,15,5,2
cluster1,6,6,2,2,17,3,6,2,3,15,0,0,0,3,3,3,0,9,1,0,0,0,8,15,15,2
cluster6,5,24,0,5,4,14,10,2,3,11,0,10,2,2,3,3,4,6,0,6,3,0,8,27,12,3
cluster7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cluster4,0,4,1,16,4,1,2,0,6,2,1,0,4,3,3,9,0,4,22,1,1,1,5,36,12,4
cluster5,2,28,0,2,3,7,2,2,1,6,0,12,1,1,0,0,4,3,0,2,2,0,1,8,2,6
