category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,2,2,0,8,9,44,9,6,2,1,3,0,4,2,2,3,11,2,0,3,8,7,2,0,4,0
movies_and_television,0,2,0,3,10,32,9,50,18,10,6,0,1,36,7,20,10,3,0,2,17,19,10,2,2,3
web_development_and_sites,4,1,0,11,0,0,4,3,2,0,3,0,1,0,1,0,1,1,0,0,3,2,0,0,0,1
politics,5,59,0,30,33,1,39,4,60,13,2,0,3,3,6,172,2,25,69,3,12,11,5,27,0,11
sports,2,1,0,21,16,32,4,11,11,4,12,1,5,4,5,12,14,4,0,8,4,11,6,6,1,4
technology,17,2,0,75,20,26,22,25,28,2,4,0,18,8,14,34,8,8,0,14,56,10,2,2,3,9
educational,14,0,0,51,17,12,30,16,28,3,3,1,13,4,15,11,6,12,2,10,30,3,1,7,1,6
religion,2,0,0,11,1,31,90,28,20,0,0,0,2,23,7,5,2,0,0,12,19,6,1,2,0,1
travel,2,4,0,2,2,7,0,4,0,0,2,0,2,2,1,2,7,1,1,2,2,0,5,1,0,1
music_and_entertainment,3,0,0,5,5,97,10,34,6,4,23,3,9,9,6,2,48,3,0,19,12,6,3,1,10,4
the_environment,1,1,0,3,2,2,0,1,10,0,1,0,2,0,15,0,1,0,0,5,1,1,1,0,1,1
school_and_education,3,0,0,3,5,7,3,9,1,0,2,0,1,3,4,0,2,1,0,0,7,1,0,0,0,1
health,0,1,0,22,8,8,2,3,4,0,0,0,1,1,1,25,4,0,0,0,4,2,0,1,0,1
citizen_journalism,2,11,0,13,12,4,9,4,5,1,5,0,3,1,0,7,2,9,17,3,4,11,1,4,0,3
personal_or_auto-biographical,3,0,0,2,1,5,1,4,0,0,4,0,2,0,1,0,5,1,0,12,4,0,2,1,0,3
food_and_drink,3,1,0,1,15,5,1,12,2,0,1,0,1,1,3,6,6,5,0,3,8,0,3,1,0,0
conferences_and_other_events,0,0,0,11,2,4,5,10,3,1,0,0,3,5,2,4,2,0,0,2,7,6,0,1,0,6
gaming,3,2,0,2,9,18,5,9,0,1,16,0,2,5,0,4,6,2,0,3,8,1,9,1,1,3
literature,0,0,0,0,7,1,1,2,2,12,1,0,3,0,0,0,7,2,0,2,1,0,13,28,0,1
business,3,2,0,8,2,4,4,6,7,1,0,0,2,4,5,6,1,3,5,5,12,1,1,1,0,3
the_mainstream_media,1,0,0,22,1,2,4,3,7,1,1,0,2,3,13,9,2,1,0,5,6,3,0,0,2,1
autos_and_vehicles,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
comedy,2,0,0,6,4,24,8,24,10,2,6,0,2,5,1,17,11,2,0,1,4,2,10,0,2,3
default_category,25,16,2,44,34,84,24,37,36,14,18,2,31,14,14,37,31,16,8,37,53,15,28,19,7,18
videoblogging,6,2,0,7,10,27,6,22,6,12,15,1,10,5,3,6,32,4,2,12,19,8,12,6,5,5
documentary,2,1,0,3,4,14,8,6,6,5,0,0,4,9,1,2,6,10,1,5,5,4,7,3,2,1
