category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,6,1,3,3,2,0,0,0,4,0,0,1,1,2,2,0,13,2,2,0,2,29,0,1,0,5,0,12,1,0,0,3,0,0,2,2,3,6,1,4,7,0,1,1,2,2,3,3,1,1
movies_and_television,2,0,10,1,10,0,1,0,2,1,0,2,0,0,10,0,40,2,24,0,1,8,2,3,1,4,2,21,6,0,1,2,1,1,15,8,1,6,1,13,6,0,3,23,5,4,13,1,4,11
web_development_and_sites,0,2,0,0,0,0,0,2,0,0,0,0,0,3,2,0,1,0,3,0,10,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,1,0,0,0,1,3,0,0,0,0
politics,0,5,158,1,3,63,26,4,21,0,0,0,2,6,38,13,1,12,3,2,1,1,16,12,12,34,2,7,8,0,8,1,53,0,31,1,3,9,0,0,1,0,23,1,1,3,4,0,5,0
sports,1,0,10,2,2,0,4,6,8,1,0,1,4,6,8,7,13,2,10,1,4,18,2,4,0,1,4,15,1,1,0,6,1,1,3,1,2,5,0,3,14,1,2,1,5,5,5,0,4,4
technology,6,7,19,10,2,0,3,10,40,0,0,1,2,4,20,2,14,9,18,2,30,13,3,1,3,13,3,8,19,0,6,9,1,1,9,0,12,8,8,32,4,4,8,6,2,16,6,4,8,1
educational,0,7,9,7,2,2,3,6,13,0,0,3,2,6,25,0,8,4,13,11,36,6,2,1,4,5,1,9,8,1,5,7,0,2,7,0,13,3,2,14,7,1,8,0,0,16,5,1,11,0
religion,1,0,2,4,0,0,2,2,5,0,0,0,0,1,14,0,19,0,18,61,1,18,0,0,4,7,0,3,6,0,1,12,0,0,14,1,1,2,1,9,0,0,0,10,0,18,18,0,4,4
travel,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,5,0,0,0,0,5,1,4,1,0,3,3,1,0,1,2,5,0,0,1,1,0,0,2,4,0,1,1,2,0,1,0,1,0
music_and_entertainment,34,2,2,4,1,0,1,0,1,4,0,3,0,4,3,0,42,2,17,1,1,58,0,2,4,7,3,12,3,3,2,15,0,2,6,3,4,1,2,10,16,2,3,3,19,1,3,7,2,7
the_environment,0,0,0,2,1,0,0,1,2,0,0,0,0,1,7,0,0,0,1,0,0,0,1,1,3,0,1,3,1,0,0,6,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,13,0
school_and_education,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,0,11,0,1,1,5,2,0,0,1,1,0,5,1,0,0,1,0,1,0,0,1,1,0,3,2,0,1,1,0,2,2,0,2,0
health,0,0,0,1,0,0,1,0,3,0,0,0,0,18,2,1,2,1,2,0,1,7,26,3,0,0,1,6,2,0,0,0,1,0,2,0,0,2,0,2,0,0,0,0,0,2,1,0,1,0
citizen_journalism,0,0,4,1,0,14,4,9,11,0,0,0,0,2,5,0,2,3,3,0,0,1,1,3,6,7,0,2,1,0,0,0,10,3,4,2,1,10,1,2,1,1,8,1,5,1,1,0,0,1
personal_or_auto-biographical,2,1,0,2,0,0,1,2,0,0,0,1,0,2,0,0,4,1,2,0,0,3,0,2,3,0,0,0,3,0,1,3,0,2,0,1,1,0,1,1,3,6,1,0,1,1,0,0,0,0
