cluster,category,score
cluster58,travel,0.28
cluster59,travel,0.1411764705882353
cluster54,gaming,0.1864406779661017
cluster55,food_and_drink,0.17543859649122806
cluster56,citizen_journalism,0.1791044776119403
cluster57,citizen_journalism,0.3898305084745763
cluster50,travel,0.28205128205128205
cluster51,travel,0.25
cluster52,travel,0.21518987341772153
cluster53,travel,1.0
cluster10,travel,0.18421052631578946
cluster11,citizen_journalism,0.5862068965517241
cluster12,conferences_and_other_events,0.3176470588235294
cluster39,travel,0.1836734693877551
cluster14,health,0.15827338129496402
cluster15,travel,0.2159090909090909
cluster16,travel,0.25396825396825395
cluster17,autos_and_vehicles,0.15873015873015872
cluster18,food_and_drink,0.2987012987012987
cluster19,school_and_education,0.14754098360655737
cluster30,citizen_journalism,0.7413793103448276
cluster31,travel,1.0
cluster36,conferences_and_other_events,0.23529411764705882
cluster37,literature,0.27692307692307694
cluster34,default_category,0.22784810126582278
cluster35,travel,0.1568627450980392
cluster9,conferences_and_other_events,0.22794117647058823
cluster38,autos_and_vehicles,0.33766233766233766
cluster49,conferences_and_other_events,0.14193548387096774
cluster13,travel,0.22641509433962265
cluster43,health,0.48
cluster42,travel,0.24324324324324326
cluster41,citizen_journalism,0.19642857142857142
cluster40,autos_and_vehicles,0.1476510067114094
cluster47,health,0.6705882352941176
cluster46,health,0.22727272727272727
cluster45,travel,0.2608695652173913
cluster44,movies_and_television,0.13157894736842105
cluster29,citizen_journalism,0.23529411764705882
cluster28,citizen_journalism,0.58
cluster21,travel,0.23076923076923078
cluster20,food_and_drink,0.25
cluster23,travel,0.16538461538461538
cluster22,school_and_education,0.2777777777777778
cluster25,conferences_and_other_events,0.34782608695652173
cluster24,citizen_journalism,0.31
cluster27,citizen_journalism,0.18333333333333332
cluster26,travel,0.3181818181818182
cluster32,citizen_journalism,0.38461538461538464
cluster8,travel,0.27906976744186046
cluster48,travel,0.17475728155339806
cluster33,videoblogging,0.175
cluster2,default_category,0.2545454545454545
cluster3,food_and_drink,0.375
cluster0,literature,0.3870967741935484
cluster1,food_and_drink,0.29838709677419356
cluster6,food_and_drink,0.47619047619047616
cluster7,citizen_journalism,0.2692307692307692
cluster4,autos_and_vehicles,0.14285714285714285
cluster5,citizen_journalism,0.6866952789699571
