cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster39,0,0,1,4,7,0,3,0,0,1,0,1,0,2,0,0,0,1,0,2,0,0,1,7,3,0
cluster10,1,5,0,0,3,1,0,0,0,6,0,4,0,0,0,0,1,1,0,1,3,0,1,10,5,2
cluster11,2,3,1,9,2,1,3,0,1,1,0,0,0,1,0,2,0,3,28,0,0,0,2,19,8,5
cluster12,0,5,1,2,5,5,3,4,1,0,11,4,1,0,0,2,1,0,0,3,2,0,0,7,2,1
cluster13,2,5,0,9,0,9,3,0,0,6,0,13,0,0,1,5,4,3,1,5,0,0,2,14,6,0
cluster14,2,10,0,5,2,2,1,0,0,2,1,0,0,0,0,0,0,0,9,0,0,0,2,13,9,4
cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cluster16,3,5,1,2,9,3,2,2,2,18,0,1,0,3,5,1,0,15,0,0,1,0,7,12,13,0
cluster17,1,0,3,1,1,17,19,3,0,0,0,0,0,8,1,0,0,1,0,1,0,0,1,15,3,1
cluster18,2,10,0,27,5,12,11,0,1,7,8,7,2,4,0,1,1,2,3,5,5,0,5,18,6,3
cluster33,1,8,1,2,6,3,2,0,4,3,2,0,0,2,1,2,0,6,2,1,0,0,6,18,5,3
cluster30,3,2,0,7,0,9,8,0,1,5,4,3,0,0,0,1,1,1,0,2,20,0,1,9,0,0
cluster31,0,0,0,32,0,1,3,0,0,0,0,2,0,13,0,0,0,0,0,3,0,0,0,3,0,0
cluster36,5,41,0,5,6,8,5,0,4,22,0,15,1,3,4,6,1,7,2,1,1,0,13,30,11,3
cluster37,3,1,2,12,7,12,17,10,1,3,1,3,2,3,0,2,2,0,0,3,1,0,1,10,8,2
cluster34,5,3,0,23,11,31,16,2,1,4,0,6,19,9,1,1,3,3,0,1,11,0,4,16,4,1
cluster35,0,2,0,22,2,7,3,0,2,1,0,0,2,1,0,1,4,0,7,1,0,0,0,11,3,1
cluster38,2,0,0,1,4,8,4,1,1,2,2,2,0,3,0,0,1,1,0,0,1,1,1,11,6,0
cluster49,1,2,0,0,6,7,5,0,1,10,4,6,0,0,2,1,3,2,1,0,3,0,1,18,3,3
cluster48,0,1,2,0,2,8,18,4,0,0,0,15,1,2,0,1,3,3,0,0,0,0,0,3,0,0
cluster43,8,6,1,0,6,5,3,9,1,13,2,9,0,4,2,1,3,3,0,1,1,0,0,21,7,5
cluster42,22,15,0,1,14,11,6,2,5,32,0,13,6,1,3,1,1,4,0,1,1,0,16,24,13,4
cluster41,0,4,0,10,5,2,0,0,3,4,1,0,7,4,3,13,0,4,11,1,1,0,7,19,13,3
cluster40,7,2,0,0,0,6,0,0,0,41,0,1,0,0,1,1,1,2,0,0,0,0,2,10,9,4
cluster47,2,0,0,4,1,7,6,1,1,4,0,2,1,4,3,2,3,1,0,3,2,0,1,17,4,5
cluster46,1,31,0,2,3,3,1,2,2,7,0,7,1,1,0,1,4,1,0,2,1,0,0,9,1,6
cluster45,5,0,1,0,5,20,5,2,1,6,0,5,2,2,4,1,1,1,0,3,2,1,4,11,8,2
cluster44,8,5,1,39,2,15,4,0,0,7,0,8,2,7,0,1,2,3,1,1,2,0,5,12,1,7
cluster29,1,1,0,5,0,7,2,0,1,7,5,2,1,0,2,0,3,2,13,4,1,0,1,25,5,0
cluster28,2,0,2,5,2,11,6,0,2,3,0,1,0,1,1,3,0,2,0,1,1,0,1,15,4,2
cluster21,0,0,9,0,0,21,33,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,13,1,0
cluster20,8,14,2,5,8,10,9,1,3,7,1,1,2,0,2,7,0,4,0,2,0,0,12,22,9,4
cluster23,0,2,1,54,0,2,1,0,5,0,0,0,1,9,0,0,0,1,0,4,0,0,0,6,4,1
cluster22,3,34,0,5,5,15,10,1,2,5,0,9,1,2,2,4,5,5,1,3,3,0,6,17,9,2
cluster25,0,1,1,2,0,2,3,0,0,2,0,68,0,0,0,0,0,0,0,1,2,0,2,6,4,1
cluster24,4,7,1,8,7,7,2,1,0,2,1,3,2,9,0,0,4,0,0,0,1,0,4,8,3,5
cluster27,1,0,0,0,2,6,0,0,0,3,1,2,0,1,9,1,0,1,0,3,2,0,0,9,6,3
cluster26,0,0,0,48,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,6,1,1
cluster32,0,2,0,7,1,4,4,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,2,7,1,1
cluster8,0,0,2,1,3,23,20,0,0,3,1,8,1,0,0,0,2,2,0,3,0,1,0,18,3,2
cluster9,1,3,1,141,12,10,1,0,1,1,0,2,2,0,0,3,1,0,0,1,1,0,2,15,0,0
cluster19,2,2,0,11,3,5,2,0,0,2,0,0,0,2,1,1,1,5,1,0,1,0,0,8,2,1
cluster2,2,3,0,21,4,3,8,1,1,2,0,0,0,5,0,2,0,0,2,3,1,0,2,9,2,6
cluster3,1,8,0,56,8,18,9,0,0,0,2,4,23,5,0,1,3,1,0,5,9,0,11,23,5,1
cluster0,2,19,1,1,6,7,8,2,0,10,0,18,1,3,0,5,3,2,0,2,3,0,6,20,3,3
cluster1,3,0,3,6,7,30,18,3,0,0,0,6,3,3,1,1,7,1,0,8,1,4,1,18,3,1
cluster6,15,6,0,0,14,9,5,1,2,53,0,10,3,0,0,3,1,10,0,1,0,0,10,34,16,6
cluster7,3,3,0,0,1,3,1,0,0,11,0,0,0,0,0,0,0,1,0,0,2,0,3,6,5,3
cluster4,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
