category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,0,1,0,1,1,0,0,1,1,0,9,3,0,0,5,1,0,1,0,0,2,0,0,0,2,0,1,3,0,3,0,0,5,3,0,5,1,0,2,3,0,5,2,0,1,2,0,1,3,3,1,4,0,0,2,12,0,0,1,0,0,2,1,0,4,5,2,0,9,20
movies_and_television,2,1,1,0,5,3,1,0,0,0,25,0,0,21,0,1,0,8,1,1,0,24,0,0,2,0,3,1,0,2,0,1,7,21,2,1,0,0,1,12,0,16,11,1,0,2,0,16,5,5,1,3,0,1,2,2,0,2,8,1,0,0,1,1,3,5,4,0,24,11
web_development_and_sites,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,8,1,0,1,2,0,0,1,0,0,0,0,2,1,1,0,2,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
politics,16,2,30,17,2,3,0,1,1,49,1,1,0,3,14,0,0,2,17,0,2,2,26,2,5,0,19,0,1,1,4,1,2,48,45,0,2,1,0,5,2,4,20,4,0,12,0,1,14,0,4,0,0,1,127,0,0,0,9,5,0,2,2,10,35,6,5,5,1,1
sports,2,0,14,1,5,4,1,3,1,0,13,3,0,3,8,5,0,1,2,2,0,3,0,6,3,1,2,0,0,9,3,0,6,6,0,2,3,4,0,2,0,7,3,0,2,2,0,1,7,1,2,3,0,0,4,8,1,2,4,0,0,1,2,0,2,6,1,0,11,11
technology,1,5,6,0,5,2,3,2,23,0,9,6,4,8,18,8,16,1,3,5,5,5,1,0,15,0,1,4,3,3,5,3,15,22,1,6,13,0,2,16,26,7,10,4,4,5,0,2,11,1,9,5,0,2,7,4,0,2,2,3,2,5,0,7,8,14,3,1,10,8
educational,2,1,10,2,3,2,2,2,17,1,4,2,12,2,9,6,29,1,2,19,7,3,3,4,4,0,3,0,14,4,5,4,6,7,0,0,9,1,0,9,6,2,11,5,1,2,0,1,7,1,8,2,0,1,2,3,1,1,1,1,0,3,0,2,3,5,2,1,9,4
religion,2,0,3,0,2,0,0,0,1,0,4,2,2,14,2,7,1,0,1,11,0,9,0,1,2,0,0,1,0,0,7,18,5,6,0,4,0,0,0,7,3,4,6,1,2,0,0,9,9,1,2,3,0,36,1,8,0,0,0,0,1,29,0,0,6,2,1,0,9,18
travel,0,0,0,2,1,5,1,0,0,1,1,0,0,1,1,1,0,0,2,0,1,2,0,0,0,0,1,0,0,1,0,0,2,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,2,0,0,2,3,0,2,4
music_and_entertainment,0,5,1,0,0,2,1,0,0,0,54,1,0,9,2,11,0,0,0,0,2,3,0,1,3,4,1,29,1,4,2,0,8,4,0,10,0,22,7,4,0,5,4,2,4,2,0,6,1,1,6,9,0,5,0,21,3,2,1,1,3,1,1,1,3,1,9,1,14,24
the_environment,0,2,0,0,10,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,1,1,0,1,0,1,0,8,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
school_and_education,0,0,1,0,4,0,0,0,2,0,0,1,0,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,1,9,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,8,2
health,25,1,0,0,0,0,0,0,0,0,1,0,0,1,20,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,0,0,1,1,1,2,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,3,6
citizen_journalism,1,0,3,2,0,0,1,0,1,10,1,1,0,2,2,0,1,1,2,2,0,2,11,1,3,0,5,0,0,1,0,0,4,4,8,0,10,2,0,1,0,8,3,0,0,2,0,0,7,2,4,4,0,0,0,0,0,3,0,0,1,0,0,0,8,2,3,0,2,0
personal_or_auto-biographical,0,1,0,0,0,0,0,0,0,0,2,0,0,4,2,2,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,6,1,0,0,1,1,5,1,0,0,0,0,0,1,0,0,5,0,1,1,0,1,2,1,1,2
food_and_drink,0,0,1,1,2,3,0,0,0,0,2,0,0,6,1,1,0,2,0,1,0,1,0,0,0,0,6,0,0,1,0,0,2,0,0,1,0,1,0,7,0,0,1,1,1,1,0,0,1,0,4,1,0,0,2,1,0,0,0,0,0,0,3,0,0,8,8,0,7,0
conferences_and_other_events,1,1,1,0,0,0,0,0,5,0,0,1,0,3,0,3,0,0,2,3,0,2,0,0,4,0,0,1,0,0,2,1,3,5,0,0,0,0,0,3,1,4,1,0,0,1,0,2,3,0,3,1,0,0,0,1,0,2,1,0,0,1,0,3,1,0,0,2,4,2
gaming,1,1,0,3,0,2,4,0,0,0,8,1,0,2,1,1,0,0,1,0,0,0,0,0,2,0,1,1,0,6,1,1,1,3,1,3,1,9,0,1,5,1,0,0,2,5,0,3,3,3,1,1,0,0,0,9,0,4,0,0,0,3,2,0,1,4,2,0,2,3
literature,0,3,0,31,0,1,0,1,0,0,2,0,0,1,0,1,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,1,1,0,0,7,2,0,0
business,1,1,1,0,4,0,1,1,2,2,1,0,0,3,1,1,0,0,1,0,0,2,3,2,1,0,3,0,2,0,1,1,4,4,3,0,1,0,0,7,2,0,4,2,1,0,0,1,2,0,5,2,0,1,1,0,0,1,0,0,2,1,0,1,0,1,1,1,2,1
the_mainstream_media,1,0,1,1,2,0,0,1,0,0,2,1,0,0,1,2,0,1,0,0,1,1,0,0,20,0,0,0,0,0,1,0,3,4,0,0,0,1,0,2,0,2,5,10,2,1,0,2,4,1,2,1,0,0,1,1,0,2,1,1,0,2,0,0,2,0,0,1,2,0
autos_and_vehicles,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
