cluster,category,score
cluster10,travel,0.23529411764705882
cluster11,conferences_and_other_events,0.23391812865497075
cluster12,travel,0.22784810126582278
cluster39,autos_and_vehicles,0.16666666666666666
cluster14,travel,0.31868131868131866
cluster15,travel,0.12048192771084337
cluster16,food_and_drink,0.375
cluster17,travel,0.21818181818181817
cluster32,default_category,0.44554455445544555
cluster33,citizen_journalism,0.21818181818181817
cluster30,travel,0.13215859030837004
cluster31,travel,0.24050632911392406
cluster36,citizen_journalism,0.5625
cluster37,food_and_drink,0.21052631578947367
cluster34,food_and_drink,0.25
cluster35,autos_and_vehicles,0.29523809523809524
cluster38,conferences_and_other_events,0.17032967032967034
cluster13,citizen_journalism,0.6039603960396039
cluster29,technology,0.19402985074626866
cluster28,default_category,0.2564102564102564
cluster21,citizen_journalism,0.19148936170212766
cluster20,citizen_journalism,0.631578947368421
cluster23,school_and_education,0.25
cluster22,gaming,0.15873015873015872
cluster25,health,0.19090909090909092
cluster24,health,0.6826923076923077
cluster27,food_and_drink,0.296969696969697
cluster26,citizen_journalism,0.31297709923664124
cluster18,travel,0.2125
cluster8,travel,0.16981132075471697
cluster9,citizen_journalism,0.2489451476793249
cluster19,travel,0.17333333333333334
cluster2,conferences_and_other_events,0.275
cluster3,food_and_drink,0.2578125
cluster0,citizen_journalism,0.6356275303643725
cluster1,travel,0.175
cluster6,travel,1.0
cluster7,travel,0.21904761904761905
cluster4,citizen_journalism,0.21839080459770116
cluster5,autos_and_vehicles,0.2094017094017094
