cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster54,2,0,0,1,1,9,5,1,0,4,1,2,1,2,1,2,2,1,0,2,1,0,1,16,3,3
cluster50,2,4,0,10,4,4,5,0,1,2,0,0,0,1,0,0,0,3,1,0,1,0,2,8,2,1
cluster51,0,1,0,0,1,1,1,1,0,2,1,0,0,3,2,0,2,3,0,1,2,0,0,7,4,0
cluster52,5,5,5,15,11,62,34,2,1,2,2,5,3,11,0,0,7,3,0,4,16,1,3,27,5,2
cluster53,1,16,1,4,6,7,7,3,0,8,0,23,0,1,1,7,4,2,1,2,2,0,1,23,8,2
cluster10,6,1,0,0,1,4,0,0,2,34,0,0,0,0,0,1,0,1,0,0,1,0,2,16,8,3
cluster11,4,3,4,3,4,14,21,2,0,2,0,18,2,2,1,3,7,2,2,5,1,0,3,9,3,1
cluster12,1,5,0,6,5,12,12,2,0,2,14,2,1,0,0,2,0,0,0,5,13,0,1,8,3,1
cluster39,6,6,1,35,1,13,4,0,0,6,0,6,1,3,0,0,3,3,0,2,1,0,5,10,1,6
cluster14,6,15,0,4,3,13,7,1,3,8,0,10,1,3,3,2,3,4,0,7,2,0,4,20,10,3
cluster15,1,23,0,55,10,24,9,0,0,6,2,8,2,4,0,2,5,3,0,4,6,0,7,24,3,3
cluster16,27,6,0,1,16,12,6,1,5,49,0,16,6,0,3,1,2,11,0,1,1,0,12,36,16,7
cluster17,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
cluster18,0,1,0,23,4,3,4,0,1,1,0,2,1,4,1,0,1,1,5,1,0,0,0,9,4,1
cluster33,1,4,1,5,4,8,12,9,0,3,1,3,1,2,0,5,2,2,1,2,2,0,3,20,8,1
cluster30,0,0,0,59,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,9,1,1
cluster31,1,6,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,2
cluster36,0,0,3,0,0,32,16,1,0,0,1,1,1,1,0,0,0,2,0,3,0,0,0,10,2,1
cluster37,2,0,1,3,5,2,2,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,7,1,4
cluster34,4,18,1,2,5,5,1,2,2,6,0,10,1,5,0,2,3,2,0,0,0,0,3,8,3,2
cluster35,7,26,2,2,11,11,12,3,2,15,2,7,6,1,4,6,1,4,1,2,1,0,13,20,14,4
cluster13,0,0,0,13,7,2,0,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,2,9,1,2
cluster38,1,0,0,33,2,1,1,0,2,0,0,2,2,5,1,1,0,1,10,2,1,1,2,24,3,2
cluster49,0,2,0,14,2,7,8,1,1,3,0,0,0,5,1,2,0,2,1,2,1,0,2,8,1,4
cluster48,0,1,0,2,1,2,8,2,0,3,0,57,0,0,0,0,2,0,0,0,2,0,1,2,1,0
cluster43,2,2,0,4,1,0,1,0,2,4,1,0,1,3,2,4,1,1,11,1,0,0,1,14,16,3
cluster42,2,1,0,6,1,6,3,0,0,2,0,0,1,3,1,1,1,3,1,0,1,0,0,5,2,1
cluster41,1,3,0,0,1,1,0,1,0,2,0,6,0,1,0,1,0,0,0,0,1,0,0,1,2,2
cluster40,1,8,2,22,4,17,22,1,0,3,4,11,2,4,0,2,3,0,2,4,5,0,8,20,4,3
cluster47,1,0,0,0,0,9,1,0,0,4,1,1,0,0,4,0,2,2,1,2,2,0,0,6,3,3
cluster46,2,5,0,4,0,0,2,0,0,1,1,0,0,2,0,1,0,0,11,1,0,0,2,5,8,3
cluster45,1,1,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,1,13,0,1,0,0,7,4,2
cluster44,6,6,1,1,16,1,7,2,1,15,0,0,0,1,3,3,0,9,0,0,0,0,8,13,15,1
cluster29,2,0,4,5,2,12,9,1,2,3,1,0,0,0,1,2,0,1,0,1,1,0,2,19,5,2
cluster28,14,33,1,1,12,12,4,9,2,45,0,18,3,2,2,1,2,9,1,3,2,0,23,37,13,7
cluster21,1,0,0,3,6,6,4,0,2,10,3,10,0,1,3,1,1,2,1,2,0,0,0,16,6,2
cluster20,0,1,0,10,1,3,4,1,0,2,2,4,0,3,2,0,2,0,1,3,1,0,0,13,1,2
cluster23,1,28,0,2,2,7,3,0,2,6,0,7,1,1,0,0,3,1,0,2,1,0,1,9,2,6
cluster22,0,1,0,2,0,7,6,0,0,0,0,19,1,0,0,0,1,1,0,0,0,0,0,8,2,1
cluster25,1,5,2,1,4,2,0,0,3,18,0,1,0,5,2,1,0,9,0,0,1,0,4,14,9,0
cluster24,2,4,0,142,4,10,5,0,1,0,0,0,23,1,0,1,0,0,0,3,4,0,4,14,1,0
cluster27,0,1,1,41,0,1,1,0,4,0,1,0,1,8,0,0,0,1,0,5,0,0,0,5,2,0
cluster26,1,7,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,4,5,1,0,0,4,9,3,4
cluster32,0,0,0,0,0,5,1,0,1,3,0,0,0,1,6,0,0,0,0,1,0,0,0,7,3,1
cluster8,3,4,0,21,9,13,5,2,2,2,4,2,2,12,1,10,0,4,0,2,0,0,2,17,5,0
cluster9,0,1,1,8,0,6,6,0,1,2,0,1,0,0,1,0,3,0,0,0,0,0,1,8,4,0
cluster19,3,1,0,0,0,4,1,0,0,7,0,0,0,0,0,0,0,1,0,0,2,0,2,3,6,0
cluster2,1,4,1,6,5,1,1,1,4,2,1,0,2,2,1,10,0,4,9,0,0,0,9,12,3,3
cluster3,2,0,4,12,7,7,11,1,1,3,1,0,19,2,2,2,0,0,0,1,5,4,4,15,2,0
cluster0,0,4,0,0,4,2,0,0,0,4,0,2,0,1,0,0,1,0,0,1,2,0,0,6,3,1
cluster1,3,1,2,3,2,11,15,1,1,5,1,2,0,1,1,0,1,2,0,0,1,1,0,18,4,1
cluster6,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
cluster7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cluster4,2,3,0,0,2,6,3,1,0,10,3,4,0,0,1,1,3,3,1,1,2,0,1,11,2,0
cluster5,5,4,0,10,6,7,1,1,0,1,1,3,2,10,0,0,4,0,0,0,2,0,2,11,2,3
