category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,7,0,0,2,0,1,2,1,2,6,2,31,0,3,3,1,0,1,7,9,1,3,1,2,3,3,0,7,6,0,16,2,2,8,2
movies_and_television,17,1,0,27,3,12,0,3,2,2,7,8,0,25,0,0,0,1,10,8,9,1,3,2,7,0,0,5,6,4,43,15,5,35,11
web_development_and_sites,0,0,0,0,1,0,4,0,0,0,0,0,0,2,2,0,4,10,2,2,0,0,1,0,1,0,0,1,3,1,1,2,0,1,0
politics,29,6,65,2,2,0,5,23,12,0,173,1,0,4,2,3,6,1,11,42,14,2,83,0,1,4,0,23,2,15,1,46,6,6,5
sports,18,1,0,4,1,4,2,2,3,2,11,21,0,7,4,4,6,2,10,3,6,1,5,1,4,6,1,13,16,4,17,7,5,3,5
technology,10,14,0,7,3,2,15,8,9,9,27,14,0,18,14,2,3,33,9,20,2,12,2,3,3,7,0,50,2,9,19,27,12,38,4
educational,15,5,1,2,15,1,12,9,5,0,9,8,0,13,15,2,9,39,3,9,3,8,1,0,1,7,1,15,7,9,10,28,13,20,1
religion,2,5,0,12,79,4,1,0,0,1,2,18,0,26,2,0,1,9,4,10,0,4,1,0,1,11,0,7,0,1,24,20,5,13,0
travel,3,1,3,1,0,0,2,1,0,0,0,6,0,0,0,0,1,0,0,0,0,1,3,0,3,2,0,1,5,1,5,0,1,4,6
music_and_entertainment,9,6,0,7,1,12,3,3,2,35,0,66,0,12,6,0,4,1,3,8,4,6,0,10,20,9,3,3,12,5,48,6,2,13,3
the_environment,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,4,1,1,0,5,0,2,1,1,2,7,14,0,1
school_and_education,3,0,0,2,2,0,2,3,0,0,0,2,0,2,1,0,1,7,1,0,0,2,0,0,0,0,0,1,2,1,13,1,2,5,0
health,9,2,0,1,0,0,0,0,1,0,25,7,0,2,0,0,19,0,2,3,0,1,2,0,0,0,0,4,0,1,2,3,1,1,2
citizen_journalism,11,2,16,1,0,1,1,8,3,0,4,1,0,3,2,0,2,1,12,9,1,3,14,0,4,2,0,11,4,3,3,5,0,3,1
personal_or_auto-biographical,1,9,0,0,0,1,1,1,1,5,0,3,0,1,1,0,2,0,0,0,0,3,0,0,2,3,0,0,3,2,6,0,0,4,2
food_and_drink,16,0,0,0,0,1,3,3,1,0,2,1,0,11,0,0,2,1,0,2,1,3,1,0,2,1,0,0,5,0,5,1,2,8,6
conferences_and_other_events,0,1,0,4,1,3,0,1,1,1,3,3,0,5,2,0,0,9,5,5,1,2,1,0,0,1,0,5,1,6,5,3,0,5,0
gaming,4,1,0,2,1,3,2,2,6,1,1,13,0,2,2,2,0,3,0,6,1,1,1,0,10,2,0,3,10,4,11,0,0,7,9
literature,5,0,0,0,0,0,0,1,5,1,0,1,0,1,2,2,0,1,0,1,17,0,10,0,1,2,0,0,7,6,1,2,0,0,17
business,3,7,5,2,1,1,3,3,0,1,6,1,0,5,0,1,1,6,0,2,1,2,4,0,0,3,0,2,0,3,4,5,5,8,1
the_mainstream_media,0,1,0,2,2,3,1,1,2,1,8,1,0,2,1,1,0,3,1,2,1,2,0,2,1,5,0,21,1,1,1,7,13,2,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
comedy,11,0,0,4,3,0,2,2,0,2,12,17,0,5,2,0,4,2,4,5,2,2,0,1,6,1,0,1,10,3,19,10,1,7,8
default_category,30,30,10,8,9,10,21,9,7,15,30,48,2,27,21,8,13,21,10,17,15,25,21,7,12,24,2,24,19,25,59,25,8,25,27
videoblogging,15,5,2,2,3,6,5,2,2,7,4,20,0,12,7,1,3,3,4,1,12,5,4,2,14,9,1,4,24,7,24,5,3,15,10
documentary,4,3,1,7,1,2,2,5,0,5,3,8,0,4,2,4,0,1,3,8,5,3,2,3,0,4,0,1,5,1,7,5,1,3,6
