category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,2,2,0,2,0,5,1,2,1,1,0,0,1,0,1,2,1,6,1,14,2,1,1,3,0,2,1,5,2,0,0,0,3,0,6,1,4,6,0,1,1,6,0,27,3,0,1,0,2,0,7,4,1,0,2
movies_and_television,0,1,1,2,2,5,16,4,5,7,1,1,0,1,28,5,0,6,1,33,0,8,3,1,4,0,4,4,3,0,0,1,4,1,6,0,3,1,0,5,23,15,1,6,1,1,6,0,0,0,26,18,4,0,4
web_development_and_sites,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,0,0,1,0,1,4,2,0,2,0,4,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0
politics,1,6,2,4,14,15,4,142,1,0,41,10,3,2,2,4,0,1,0,1,5,22,0,3,0,12,6,10,0,0,0,8,21,0,35,33,3,0,13,6,55,4,0,1,0,23,1,59,3,0,2,2,5,0,10
sports,1,1,1,1,2,11,6,4,4,1,0,1,6,0,2,0,0,16,1,12,2,4,1,2,4,7,5,6,2,0,1,0,9,1,1,2,4,1,7,5,10,3,1,16,0,4,2,0,5,0,11,5,4,0,4
technology,9,6,2,0,7,62,7,10,2,1,1,3,6,7,7,0,9,1,0,12,12,17,1,11,2,7,1,7,6,0,0,6,13,1,13,1,14,4,2,12,24,13,0,12,4,3,2,0,2,32,11,5,8,5,4
educational,5,3,8,1,8,34,7,5,0,0,1,4,4,6,3,2,1,7,2,4,9,22,0,15,0,11,1,1,3,0,1,6,5,1,4,1,21,0,0,12,9,7,0,6,1,4,1,1,2,16,12,1,12,1,5
religion,2,0,57,0,0,5,23,0,1,0,0,4,10,19,7,0,1,0,0,18,0,11,6,2,2,0,0,3,4,0,0,1,2,0,6,2,18,0,0,2,8,10,0,16,0,2,0,0,0,1,7,10,3,0,0
travel,0,0,0,2,1,1,0,1,3,1,4,0,2,0,2,0,0,1,0,2,2,0,0,1,0,1,4,0,0,0,0,1,2,0,0,2,0,2,0,0,0,3,0,5,0,1,0,0,0,0,2,2,0,1,1
music_and_entertainment,4,2,3,4,3,2,8,0,18,1,0,2,10,0,6,1,4,15,3,45,3,3,2,5,4,3,2,1,10,0,3,2,2,2,6,0,2,34,0,2,6,8,4,49,7,1,1,0,0,0,15,6,3,3,2
the_environment,1,0,0,1,0,2,0,0,0,0,1,2,3,0,0,1,1,0,0,0,1,4,0,1,0,1,1,1,3,0,0,0,4,1,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0
school_and_education,1,0,2,0,1,2,3,0,0,0,0,1,0,0,0,0,0,2,0,9,1,1,1,1,0,1,1,1,1,0,0,0,2,1,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,1,3,2,9,0,0
health,1,1,0,1,0,3,0,23,0,0,1,0,0,1,1,0,0,0,0,3,0,2,0,0,0,19,2,2,0,0,0,0,2,0,1,2,2,0,1,1,2,1,0,6,0,1,0,0,0,1,6,1,1,0,0
citizen_journalism,2,3,0,3,5,11,1,1,5,0,8,3,1,0,1,2,0,1,0,2,0,4,1,1,1,2,2,10,0,0,0,0,12,3,3,5,2,0,0,0,4,3,0,0,0,4,0,14,0,1,1,5,2,1,1
personal_or_auto-biographical,1,1,0,2,1,0,1,0,2,0,0,2,3,0,0,0,4,3,0,2,1,0,0,1,0,2,1,0,1,0,0,1,1,2,0,1,1,0,0,0,0,3,0,3,0,1,0,0,0,0,4,0,0,6,0
food_and_drink,2,1,0,4,2,0,7,1,1,0,0,0,1,0,0,1,0,3,1,1,2,2,1,0,0,2,10,0,1,0,0,0,10,0,0,1,3,1,0,2,2,2,0,1,0,0,0,0,0,0,6,2,5,0,0
conferences_and_other_events,2,1,2,1,0,7,4,0,0,0,0,2,1,1,3,0,2,0,0,2,0,3,0,1,1,0,0,4,3,0,0,3,0,2,3,0,7,0,2,0,5,3,0,2,0,1,0,0,0,0,1,3,2,0,0
gaming,1,3,0,1,2,3,2,0,9,4,1,0,2,1,1,0,2,9,1,9,1,0,0,2,0,0,4,0,3,0,0,0,4,3,3,1,2,1,0,0,3,4,0,11,1,1,0,0,2,2,4,2,2,0,3
literature,0,1,0,11,1,0,1,0,0,5,0,1,1,0,0,11,1,0,13,1,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,5,1,0,1,0,1,0,1,0,1
business,2,0,0,1,2,4,2,3,0,1,5,3,2,0,2,1,2,0,0,3,1,4,0,0,1,1,0,0,1,0,0,0,2,1,2,2,5,0,2,5,4,7,0,1,0,1,0,2,3,3,2,0,2,1,0
the_mainstream_media,1,1,2,0,1,16,2,4,1,0,0,1,0,0,1,0,2,0,1,2,1,5,1,1,2,5,0,2,2,0,0,0,0,2,1,1,1,1,0,13,6,2,0,1,2,0,0,0,1,0,1,0,2,0,1
autos_and_vehicles,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,1,0,1,1,2,3,1,4,4,4,0,0,0,0,1,2,0,8,0,23,2,8,0,0,0,4,9,2,1,0,0,1,2,0,5,2,3,2,2,1,7,4,0,12,2,0,1,0,0,0,13,3,3,0,2
default_category,16,5,2,14,8,27,23,14,14,9,5,13,16,8,9,5,6,13,7,37,19,20,1,18,6,15,12,11,11,2,2,8,17,7,10,24,9,16,9,8,24,20,2,36,3,9,5,9,7,10,20,8,20,7,8
videoblogging,3,2,1,16,1,5,8,1,9,3,2,1,6,2,2,8,3,15,4,13,5,4,2,4,3,2,3,2,2,0,1,4,5,4,1,3,3,8,1,3,3,10,1,16,6,4,4,1,1,2,14,3,8,3,2
documentary,3,1,0,3,4,2,2,0,0,4,0,2,2,1,6,3,3,1,2,7,2,3,2,1,1,0,3,3,0,0,0,0,0,0,6,2,1,3,2,1,3,3,2,7,0,1,2,1,4,1,4,2,1,1,1
