category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,1,0,0,2,1,0,2,0,0,0,0,0,5,8,5,3,3,1,1,2,3,1,1,0,0,0,0,0,3,8,0,0,5,3,0,3,0,0,1,2,3,1,8,1,0,2,2,1,2,4,1,2,1,1,0,2,0,1,29,4,1,0,1,1,0,2,0,0,0,0
movies_and_television,3,0,3,3,7,0,1,1,0,0,0,1,5,34,23,1,17,7,0,0,0,5,2,0,0,1,2,1,2,33,7,2,1,0,0,2,1,0,0,5,5,2,7,0,0,2,3,6,1,6,1,2,0,1,0,0,2,4,6,1,26,2,0,2,1,15,4,1,1,1
web_development_and_sites,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,10,0,0,2,0,0,0,1
politics,2,0,2,54,6,0,0,20,0,1,0,6,31,1,1,11,3,1,3,2,11,6,0,0,0,52,7,5,19,4,21,11,0,1,0,0,20,64,5,1,16,1,0,3,2,9,1,0,1,1,0,134,3,0,0,1,6,0,1,7,2,4,0,17,7,1,0,0,2,5
sports,1,0,4,9,2,0,7,4,1,0,0,1,1,12,6,5,6,3,2,0,8,1,2,0,1,1,1,1,2,8,3,3,0,1,2,0,1,0,5,2,1,2,6,0,1,4,1,3,12,4,1,4,1,5,0,4,1,1,14,10,2,0,1,3,0,4,2,0,2,4
technology,0,2,3,18,2,0,3,3,0,0,0,3,13,11,11,3,4,1,4,10,10,21,6,5,0,1,5,7,40,9,15,1,2,6,1,3,1,0,1,2,7,9,5,4,0,3,0,4,2,3,0,8,9,2,0,1,4,1,11,12,7,9,23,6,3,9,0,31,3,4
educational,1,1,9,7,2,0,2,3,0,0,0,3,5,4,8,1,2,0,3,12,4,13,3,1,1,0,5,3,12,6,22,2,0,1,0,0,1,1,5,1,1,19,7,2,7,4,1,1,3,3,0,5,7,2,0,1,3,0,4,8,3,4,31,7,2,7,0,13,4,3
religion,1,0,2,5,0,0,5,1,0,9,0,4,4,16,6,4,7,0,7,1,0,5,4,0,0,0,0,0,5,3,10,0,0,2,0,0,2,0,1,0,13,15,0,0,53,0,0,6,0,0,0,0,0,2,0,0,0,6,19,4,7,1,0,2,1,13,2,0,14,1
travel,4,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,1,1,1,2,1,0,0,0,4,1,0,1,1,0,0,1,0,0,0,3,0,0,1,0,0,1,1,0,1,2,1,1,1,0,1,1,1,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,1
music_and_entertainment,2,2,1,0,0,0,8,1,5,0,3,2,6,39,3,0,6,1,7,1,2,2,9,2,3,0,5,2,0,4,5,0,26,4,1,6,0,0,4,17,5,2,33,1,2,0,1,9,4,11,3,0,2,5,0,0,1,2,40,2,2,2,0,1,1,11,1,0,1,1
