cluster,category,score
cluster10,travel,0.21875
cluster11,citizen_journalism,0.5888888888888889
cluster38,travel,0.20353982300884957
cluster39,citizen_journalism,0.19047619047619047
cluster14,movies_and_television,0.1282051282051282
cluster15,travel,0.22972972972972974
cluster16,conferences_and_other_events,0.2302158273381295
cluster17,travel,0.27450980392156865
cluster32,autos_and_vehicles,0.21568627450980393
cluster19,food_and_drink,0.14035087719298245
cluster30,autos_and_vehicles,0.3382352941176471
cluster31,citizen_journalism,0.26744186046511625
cluster36,health,0.15517241379310345
cluster37,food_and_drink,0.25
cluster34,food_and_drink,0.22580645161290322
cluster35,health,0.2
cluster9,travel,0.20388349514563106
cluster12,travel,0.19642857142857142
cluster49,travel,0.23684210526315788
cluster13,citizen_journalism,0.23308270676691728
cluster43,citizen_journalism,0.5787545787545788
cluster42,food_and_drink,0.41975308641975306
cluster41,health,0.6630434782608695
cluster40,autos_and_vehicles,0.12903225806451613
cluster47,literature,0.2222222222222222
cluster46,travel,0.26666666666666666
cluster45,citizen_journalism,0.3023255813953488
cluster44,citizen_journalism,0.19387755102040816
cluster29,citizen_journalism,0.20689655172413793
cluster28,travel,0.15862068965517243
cluster21,food_and_drink,0.36363636363636365
cluster20,conferences_and_other_events,0.24390243902439024
cluster23,school_and_education,0.30952380952380953
cluster22,travel,1.0
cluster25,citizen_journalism,0.6774193548387096
cluster24,school_and_education,0.2037037037037037
cluster27,travel,0.17567567567567569
cluster26,citizen_journalism,0.36619718309859156
cluster18,music_and_entertainment,0.18181818181818182
cluster8,food_and_drink,0.375
cluster48,travel,0.3018867924528302
cluster33,gaming,0.14942528735632185
cluster2,travel,0.2440944881889764
cluster3,literature,0.3466666666666667
cluster0,food_and_drink,0.21561338289962825
cluster1,default_category,0.2926829268292683
cluster6,autos_and_vehicles,0.1242603550295858
cluster7,travel,0.20754716981132076
cluster4,citizen_journalism,0.3090909090909091
cluster5,travel,0.21428571428571427
