video,category,cluster
Adobedreamer-Basics313.xml,educational,0
Adobedreamer-ConstructionOfABasicWebsite690.xml,educational,0
ArchiveTVClassics-BH02_Getting_Settled_512kb315.xml,movies_and_television,0
ArchiveTVClassics-BH08_Jethro_Goes_To_School_512kb502.xml,movies_and_television,0
ArchiveTVClassics-BH14_No_Place_Like_Home_512kb339.xml,movies_and_television,0
ArchiveTVClassics-BH16_Back_To_Californy_512kb345.xml,movies_and_television,0
ArchiveTVClassics-BH20_Jed_Throws_A_WingDing_512kb959.xml,movies_and_television,0
ArchiveTVClassics-radarmen_chapter9_512kb944.xml,movies_and_television,1
Abird-ThrownFromTheHolidayTrain826.xml,default_category,2
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,default_category,2
AlanTaylor925-EdinburghFestivalFringe114.xml,comedy,2
AlanTaylor925-FalklandsWarRemembrance209.xml,educational,2
Albarra-QuranPart5845.xml,educational,2
Aramistech-3TipsForYoutubeAndYourBlog218.xml,technology,2
Alleyno-EP33TheZeigtgeistMovementDontMindTheMenBehindTheCurt802.xml,documentary,3
Anglicantv-AMW2009TeachingThree610.xml,religion,3
Arincrumley-CantWeAllJustGetALong760.xml,educational,3
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,documentary,4
ACDigest-AnnapolisCityDigest108396.xml,default_category,4
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,technology,4
Adobedreamer-HTMLTutorial576.xml,educational,4
Aramistech-WatchNetflixOnYourTVAndInYourCar936.xml,technology,4
571mul470r-OhhhhhhBama392.xml,the_environment,5
ACDigest-AnnapolisCityDigest103551.xml,default_category,5
ACDigest-AnnapolisCityDigest107788.xml,default_category,5
AceWebsites-HowToFindAndInstallATheme591.xml,default_category,5
Adobefireworks-FireworksSmartWebIntergration409.xml,educational,5
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,politics,5
AnimalTVorg-movie_84755.xml,default_category,5
Apfelphone-SpecialEvent2009In7Minutes353.xml,videoblogging,5
Aptureinc-AptureGettingStartedVideo373.xml,technology,5
Aptureinc-ApturePlatformTour870.xml,default_category,5
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,technology,6
Adobedreamer-TheDocumentToolbar845.xml,web_development_and_sites,7
AnimalTVorg-movie_100357.xml,default_category,7
ArchiveTVClassics-ep12_512kb188.xml,movies_and_television,8
ArchiveTVClassics-gam1_512kb540.xml,movies_and_television,8
ArchiveTVClassics-gam4_512kb544.xml,movies_and_television,8
ArchiveTVClassics-radarmen_chapter2_512kb836.xml,movies_and_television,8
ArchiveTVClassics-radarmen_chapter4_512kb983.xml,movies_and_television,8
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,default_category,9
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,religion,9
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,religion,9
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,religion,9
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,religion,9
Acnethai-414.xml,health,9
Adobedreamer-ApplicationWorkspaceOverview128.xml,educational,9
Adobedreamer-CleaningUpYourCode369.xml,technology,9
Adobedreamer-CodeToolbar161.xml,educational,9
Adobedreamer-DreamweaverViewOptions911.xml,educational,9
