video,category,cluster
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,documentary,0
1801Media-iPhone3GWhatDoPeopleKnow259.xml,default_category,0
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,religion,0
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,religion,0
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,religion,0
AbsoluteDisaster-CraigTheWerewolf1753.xml,comedy,0
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,default_category,0
Adobedreamer-HTMLTutorial576.xml,educational,0
Adobedreamer-using_mysql_admin852.xml,technology,0
Adobedreamer-XMLBasics582.xml,technology,0
Agaelebe-14EDTEDCarlosBrando444.xml,conferences_and_other_events,0
Agaelebe-ResultsONDayAleksandarMandic715.xml,conferences_and_other_events,0
AlanTaylor925-LastVoyageOfTheQE2755.xml,school_and_education,0
Alecmuffett-ITFuturologyWhatCouldHappenToTheWebBy2012423.xml,technology,0
Alexodam-NameCompetition565.xml,technology,0
AliaK-NaVloPoMo26Day26SultanAhmetHagiaSofia834.xml,travel,0
Andersonuniversity-SimManDedication503.xml,educational,0
Andresworld-TheSecretOfAMojito234.xml,personal_or_auto-biographical,0
Anglicantv-ACNA2009PressConference187.xml,religion,0
AnimalTVorg-movie_20361.xml,documentary,0
AnimalTVorg-movie_85664.xml,default_category,0
Annexdshow-AnnexdShortsCarlsImpressions905.xml,comedy,0
Appshow-AppShow1727.xml,default_category,0
Aptureinc-OpenCongressBrowserWithIntegratedYouTubeChannelsAndTwitt197.xml,politics,0
Aramistech-AsusEeepc1005HAReview559.xml,technology,0
Aramistech-PimpYourMacMiniPart1405.xml,technology,0
Aramistech-RegistryCleanerFix597.xml,technology,0
Aramistech-ZuneOrIpod123.xml,technology,0
571mul470r-OhhhhhhBama392.xml,the_environment,1
ACDigest-AnnapolisCityDigest103551.xml,default_category,1
ACDigest-AnnapolisCityDigest107788.xml,default_category,1
Alfocus-BannedBooksWeekIdLikeToFindBLEEP872.xml,default_category,1
ACDigest-AnnapolisCityDigest108396.xml,default_category,2
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,technology,2
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,music_and_entertainment,2
AlanTaylor925-AloneShortFilm417.xml,movies_and_television,2
Alleyno-EP33TheZeigtgeistMovementDontMindTheMenBehindTheCurt802.xml,documentary,2
Anglicantv-AMW2009TeachingThree610.xml,religion,2
Aramistech-FlipVideoCamcorderRecordYourself153.xml,technology,2
Aramistech-WatchNetflixOnYourTVAndInYourCar936.xml,technology,2
Arincrumley-CantWeAllJustGetALong760.xml,educational,2
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,religion,3
Aaronjupiter-MuscleUp759.xml,documentary,3
Adobedreamer-Basics313.xml,educational,3
Adobedreamer-ConstructionOfABasicWebsite690.xml,educational,3
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,technology,3
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,business,3
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,politics,3
Andresworld-PetestockTheGrandTour834.xml,music_and_entertainment,3
Anglicantv-RickWarrenWelcome39thProvinceOfAnglicanChurch482.xml,religion,3
Ansmtug-VMwareManagementWithPowerShell173.xml,technology,3
ArchiveTVClassics-BH02_Getting_Settled_512kb315.xml,movies_and_television,3
ArchiveTVClassics-BH08_Jethro_Goes_To_School_512kb502.xml,movies_and_television,3
ArchiveTVClassics-BH14_No_Place_Like_Home_512kb339.xml,movies_and_television,3
ArchiveTVClassics-BH16_Back_To_Californy_512kb345.xml,movies_and_television,3
ArchiveTVClassics-BH20_Jed_Throws_A_WingDing_512kb959.xml,movies_and_television,3
ArchiveTVClassics-ep2_512kb507.xml,movies_and_television,3
ArchiveTVClassics-gam13_512kb201.xml,movies_and_television,3
ArchiveTVClassics-part11_512kb577.xml,movies_and_television,3
